,Returns,Standard Deviation,Sharpe Ratio
148736,0.19110082870645453,0.16301709197154854,0.9526659249544169
166211,0.19587974761596907,0.1686000349048622,0.9494644986657271
47937,0.1929243733042736,0.1656447247558185,0.9485624944343685
139778,0.19920214932271174,0.17234990031657618,0.948083805227453
47936,0.191524075518135,0.16544222511485304,0.9412595569844909
139777,0.19720916482536346,0.17254813513299122,0.9354442729905924
166210,0.19324148157388074,0.16851808058152729,0.9342705603492333
139776,0.19571525519978702,0.17271559821025534,0.9258877417957015
166209,0.19122752431669798,0.16850093164599456,0.9224134418629647
166208,0.18977463018462046,0.168512983725589,0.9137256179343237
