,number,value,datetime_start,datetime_complete,duration,params_iterations,params_swarm_size,state
38,38,2.327299550981781,2022-03-24 17:14:40.884352,2022-03-24 17:14:49.855724,0 days 00:00:08.971372000,185.2533976252734,95.16315464939431,COMPLETE
39,39,2.4704079015417677,2022-03-24 17:14:49.856126,2022-03-24 17:14:51.880109,0 days 00:00:02.023983000,154.29164910065603,25.81001007319627,COMPLETE
40,40,2.488296445361766,2022-03-24 17:14:51.880497,2022-03-24 17:15:00.260381,0 days 00:00:08.379884000,198.7723023795358,83.40862410233098,COMPLETE
41,41,2.4615381652310186,2022-03-24 17:15:00.260780,2022-03-24 17:15:08.558307,0 days 00:00:08.297527000,195.68535545007506,83.05351645031904,COMPLETE
42,42,2.434630813901771,2022-03-24 17:15:08.558709,2022-03-24 17:15:17.728544,0 days 00:00:09.169835000,199.56124539477952,89.48445809083067,COMPLETE
43,43,2.441379673615679,2022-03-24 17:15:17.728938,2022-03-24 17:15:23.267531,0 days 00:00:05.538593000,178.68785328333624,60.66718300205106,COMPLETE
44,44,2.4429042654185205,2022-03-24 17:15:23.267920,2022-03-24 17:15:30.521251,0 days 00:00:07.253331000,189.67558676213343,75.92248607984085,COMPLETE
45,45,2.331100866543531,2022-03-24 17:15:30.521955,2022-03-24 17:15:36.659608,0 days 00:00:06.137653000,148.99491466402182,81.57738486049168,COMPLETE
46,46,2.4441943046363086,2022-03-24 17:15:36.660003,2022-03-24 17:15:41.231300,0 days 00:00:04.571297000,173.89742231499184,51.29323900660794,COMPLETE
47,47,2.3352327312845627,2022-03-24 17:15:41.231687,2022-03-24 17:15:47.074377,0 days 00:00:05.842690000,165.00275927378843,69.99239894016966,COMPLETE
48,48,2.453049388649769,2022-03-24 17:15:47.074763,2022-03-24 17:15:55.154322,0 days 00:00:08.079559000,183.16424239783572,86.28151948671908,COMPLETE
49,49,2.393564939393253,2022-03-24 17:15:55.154729,2022-03-24 17:16:05.161793,0 days 00:00:10.007064000,198.62410416773488,95.80695180623292,COMPLETE
