,79
Returns,30.0
Semi Deviation,11.627553482998906
Sortino Ratio,2.272189075597863
ASIANPAINT Weight,0.454722316231901
BAJFINANCE Weight,4.608674283996252
BAJAJFINSV Weight,1.444334153793729
BRITANNIA Weight,1.01348699677953
DIVISLAB Weight,7.752781774743547
GRASIM Weight,0.14941179577147118
HCLTECH Weight,0.8429506590004064
HDFCBANK Weight,21.39415587546836
HINDALCO Weight,2.052464789144987
HINDUNILVR Weight,16.584365524062985
ICICIBANK Weight,3.729184526195962
INFY Weight,0.5224591024248844
JSWSTEEL Weight,8.131514908082677
LT Weight,0.7755503827519529
NESTLEIND Weight,0.4360718938360757
POWERGRID Weight,0.42171737439034096
RELIANCE Weight,0.7985346748426961
TCS Weight,0.32166938203980877
TATACONSUM Weight,3.3278983517998344
TATASTEEL Weight,1.148301793245388
TECHM Weight,6.553410562918555
TITAN Weight,15.732146435128197
ULTRACEMCO Weight,1.0569993329293226
WIPRO Weight,0.7471931104211217
