,number,value,datetime_start,datetime_complete,duration,params_ANTS,params_EVA_RATE,params_ITERATIONS,params_Q,state
0,0,2.11473803752035,2022-03-15 07:43:31.273181,2022-03-15 07:45:45.255838,0 days 00:02:13.982657000,188,0.7813294714504051,347,0.8572396475049099,COMPLETE
1,1,2.2167139269947262,2022-03-15 07:45:45.256609,2022-03-15 07:46:19.189629,0 days 00:00:33.933020000,64,0.35855866651994084,431,0.7189902056200028,COMPLETE
2,2,2.094613504436769,2022-03-15 07:46:19.190427,2022-03-15 08:00:57.188021,0 days 00:14:37.997594000,489,0.9355540675306349,439,0.6224616524183356,COMPLETE
3,3,2.1899791188315336,2022-03-15 08:00:57.188827,2022-03-15 08:04:47.961585,0 days 00:03:50.772758000,236,0.44101633964747133,412,0.345192521158211,COMPLETE
4,4,2.0513491798019508,2022-03-15 08:04:47.962386,2022-03-15 08:06:50.534743,0 days 00:02:02.572357000,159,0.9807080670420123,415,0.3641338659675808,COMPLETE
5,5,2.118245716152714,2022-03-15 08:06:50.535541,2022-03-15 08:07:32.194707,0 days 00:00:41.659166000,271,0.393930900821419,59,0.13477434702112523,COMPLETE
6,6,2.1894951760293484,2022-03-15 08:07:32.195423,2022-03-15 08:08:32.298627,0 days 00:01:00.103204000,166,0.40003277121538805,190,0.2370688250372741,COMPLETE
7,7,2.205457601231902,2022-03-15 08:08:32.299427,2022-03-15 08:12:51.720932,0 days 00:04:19.421505000,423,0.767347891218477,169,0.04631946113598706,COMPLETE
8,8,2.193351224427191,2022-03-15 08:12:51.721735,2022-03-15 08:16:31.018851,0 days 00:03:39.297116000,205,0.09199946536711756,494,0.3329279527132111,COMPLETE
9,9,2.21623385015419,2022-03-15 08:16:31.019653,2022-03-15 08:18:35.367975,0 days 00:02:04.348322000,154,0.10404636891929198,438,0.09773695986080999,COMPLETE
10,10,2.173448068870913,2022-03-15 08:18:35.368786,2022-03-15 08:18:55.008079,0 days 00:00:19.639293000,35,0.2189422752271648,549,0.9915388590796171,COMPLETE
11,11,2.241323228179799,2022-03-15 08:18:55.008567,2022-03-15 08:18:56.565273,0 days 00:00:01.556706000,6,0.00398957998465943,320,0.6315759416491508,COMPLETE
12,12,2.1746224213547234,2022-03-15 08:18:56.565707,2022-03-15 08:18:57.856491,0 days 00:00:01.290784000,6,0.0034683340601023675,265,0.6410793945025169,COMPLETE
13,13,2.144861870414491,2022-03-15 08:18:57.856914,2022-03-15 08:19:33.815452,0 days 00:00:35.958538000,84,0.24776472406296535,315,0.7150892624883084,COMPLETE
14,14,2.142364795790063,2022-03-15 08:19:33.816124,2022-03-15 08:23:42.468799,0 days 00:04:08.652675000,340,0.6327519980322017,239,0.5602284137511209,COMPLETE
15,15,2.168039672897829,2022-03-15 08:23:42.469577,2022-03-15 08:24:23.046439,0 days 00:00:40.576862000,85,0.25898858189567564,349,0.7956560358796985,COMPLETE
16,16,2.0903683297424225,2022-03-15 08:24:23.047245,2022-03-15 08:24:23.567016,0 days 00:00:00.519771000,91,0.5987708738324993,4,0.487337311840624,COMPLETE
17,17,2.151450608066955,2022-03-15 08:24:23.567470,2022-03-15 08:24:32.970329,0 days 00:00:09.402859000,19,0.529412088911886,543,0.9232872629023132,COMPLETE
18,18,2.1809753622107944,2022-03-15 08:24:32.970778,2022-03-15 08:26:55.608800,0 days 00:02:22.638022000,343,0.32310313152145204,135,0.4757651112943785,COMPLETE
19,19,2.14327986711368,2022-03-15 08:26:55.609600,2022-03-15 08:28:01.507732,0 days 00:01:05.898132000,114,0.13260470622188295,371,0.7485145304799267,COMPLETE
20,20,2.1584283234636805,2022-03-15 08:28:01.508555,2022-03-15 08:28:27.149283,0 days 00:00:25.640728000,48,0.0008190531676868281,479,0.6425885716960088,COMPLETE
21,21,2.193802517691067,2022-03-15 08:28:27.150018,2022-03-15 08:29:33.288242,0 days 00:01:06.138224000,130,0.11246101187214849,305,0.44377694152470265,COMPLETE
22,22,2.204239192985855,2022-03-15 08:29:33.288939,2022-03-15 08:29:58.101712,0 days 00:00:24.812773000,48,0.15964965736393769,464,0.1781341407098564,COMPLETE
23,23,2.2265839579586006,2022-03-15 08:29:58.102151,2022-03-15 08:29:59.006564,0 days 00:00:00.904413000,3,0.06580321369338743,390,0.5738895222614999,COMPLETE
24,24,2.212884328478963,2022-03-15 08:29:59.006990,2022-03-15 08:30:24.930109,0 days 00:00:25.923119000,58,0.32293223809386545,377,0.579839988196674,COMPLETE
25,25,2.1961960775278957,2022-03-15 08:30:24.930907,2022-03-15 08:30:27.352582,0 days 00:00:02.421675000,12,0.03961998814644074,232,0.7302954773592334,COMPLETE
26,26,2.2177828870088647,2022-03-15 08:30:27.353039,2022-03-15 08:30:27.818796,0 days 00:00:00.465757000,2,0.21248390529039718,311,0.8796160398368685,COMPLETE
27,27,2.163570767816149,2022-03-15 08:30:27.819206,2022-03-15 08:30:29.527210,0 days 00:00:01.708004000,7,0.19884626210321607,297,0.8523896459401555,COMPLETE
28,28,2.1746617181226617,2022-03-15 08:30:29.527625,2022-03-15 08:41:15.817853,0 days 00:10:46.290228000,549,0.07547837111858344,262,0.9264907773891857,COMPLETE
29,29,2.1648725981918817,2022-03-15 08:41:15.818633,2022-03-15 08:42:17.219567,0 days 00:01:01.400934000,117,0.1802586576831423,332,0.8230540985318006,COMPLETE
30,30,2.2022853111496734,2022-03-15 08:42:17.220367,2022-03-15 08:44:52.737308,0 days 00:02:35.516941000,197,0.28871199182981644,375,0.5581345607075894,COMPLETE
31,31,2.166893176732691,2022-03-15 08:44:52.738118,2022-03-15 08:45:23.640957,0 days 00:00:30.902839000,65,0.05140462531352599,387,0.6857774033394782,COMPLETE
32,32,2.187131148448723,2022-03-15 08:45:23.641670,2022-03-15 08:45:24.706752,0 days 00:00:01.065082000,4,0.15583641911509113,336,0.7820844120107403,COMPLETE
33,33,2.149949043744333,2022-03-15 08:45:24.707197,2022-03-15 08:45:46.955030,0 days 00:00:22.247833000,47,0.33893133004356946,429,0.907548059642732,COMPLETE
