,number,value,datetime_start,datetime_complete,duration,params_ANTS,params_EVA_RATE,params_ITERATIONS,params_Q,state
35,35,2.2288500007816663,2022-03-20 01:43:24.989708,2022-03-20 01:45:00.988883,0 days 00:01:35.999175000,246,0.26232754220049126,157,0.4686557593627347,COMPLETE
36,36,2.2484343483551883,2022-03-20 01:45:00.989734,2022-03-20 01:45:01.315936,0 days 00:00:00.326202000,5,0.4742017639914994,77,0.7575781135523713,COMPLETE
37,37,2.258875372220875,2022-03-20 01:45:01.316432,2022-03-20 01:55:24.142647,0 days 00:10:22.826215000,541,0.2319770976822559,259,0.159666431244351,COMPLETE
38,38,2.167714618694324,2022-03-20 01:55:24.143455,2022-03-20 01:55:28.722952,0 days 00:00:04.579497000,74,0.34964870084895083,47,0.6639254901767899,COMPLETE
39,39,2.2284138716086956,2022-03-20 01:55:28.723461,2022-03-20 01:57:51.139733,0 days 00:02:22.416272000,211,0.5144680794065329,306,0.8914119965316125,COMPLETE
40,40,2.277006001029847,2022-03-20 01:57:51.140578,2022-03-20 02:00:13.725330,0 days 00:02:22.584752000,318,0.724226478920419,153,0.09887762368775521,COMPLETE
41,41,2.2345433380815662,2022-03-20 02:00:13.726167,2022-03-20 02:02:50.137668,0 days 00:02:36.411501000,251,0.38180100320451515,249,0.5731967306353419,COMPLETE
42,42,2.279494970637031,2022-03-20 02:02:50.138499,2022-03-20 02:06:31.464915,0 days 00:03:41.326416000,286,0.3816137941417078,286,0.5874848042718662,COMPLETE
43,43,2.273941086971448,2022-03-20 02:06:31.465741,2022-03-20 02:11:53.255527,0 days 00:05:21.789786000,301,0.31046273310831873,378,0.4948326898120546,COMPLETE
44,44,2.2894878550024558,2022-03-20 02:11:53.256370,2022-03-20 02:18:14.151885,0 days 00:06:20.895515000,359,0.5447596988551598,331,0.38199302449456096,COMPLETE
45,45,2.2674148487507333,2022-03-20 02:18:14.152705,2022-03-20 02:26:49.453714,0 days 00:08:35.301009000,367,0.5612979758353787,430,0.3562141792227721,COMPLETE
46,46,2.2368891997655296,2022-03-20 02:26:49.454548,2022-03-20 02:38:58.349800,0 days 00:12:08.895252000,505,0.8079924476029858,343,0.0727427239192687,COMPLETE
47,47,2.2557183574356015,2022-03-20 02:38:58.350623,2022-03-20 02:46:49.146728,0 days 00:07:50.796105000,414,0.6506183385083494,318,0.17359320283702928,COMPLETE
48,48,2.236968116565277,2022-03-20 02:46:49.147574,2022-03-20 02:55:54.435226,0 days 00:09:05.287652000,333,0.8982841099170509,541,0.3033116681627354,COMPLETE
49,49,2.2315583667206145,2022-03-20 02:55:54.436103,2022-03-20 02:56:03.124999,0 days 00:00:08.688896000,179,0.9455921778686414,24,0.2538603283744204,COMPLETE
