,number,value,datetime_start,datetime_complete,duration,params_iterations,params_swarm_size,state
33,33,1.4301113021313872,2022-03-31 21:16:29.135887,2022-03-31 21:16:43.665760,0 days 00:00:14.529873000,216.80083099060394,59.8029487722243,COMPLETE
34,34,1.3530811342917333,2022-03-31 21:16:43.665760,2022-03-31 21:16:58.315664,0 days 00:00:14.649904000,161.35490862270973,75.76659457693452,COMPLETE
35,35,1.397314315735583,2022-03-31 21:16:58.315664,2022-03-31 21:17:16.939559,0 days 00:00:18.623895000,241.42157098781595,61.72505671389106,COMPLETE
36,36,1.4345236101806342,2022-03-31 21:17:16.939559,2022-03-31 21:17:24.363778,0 days 00:00:07.424219000,379.40914426174874,16.517724889538876,COMPLETE
37,37,1.3426571810351011,2022-03-31 21:17:24.363778,2022-03-31 21:17:45.250007,0 days 00:00:20.886229000,314.01572740662345,54.68062605239369,COMPLETE
38,38,1.4420153934898643,2022-03-31 21:17:45.252008,2022-03-31 21:18:04.123009,0 days 00:00:18.871001000,184.05101441990928,86.69692269528008,COMPLETE
39,39,1.3426345944898737,2022-03-31 21:18:04.125010,2022-03-31 21:18:08.302018,0 days 00:00:04.177008000,108.64305745483819,31.592247599815018,COMPLETE
40,40,1.4570842960359096,2022-03-31 21:18:08.304014,2022-03-31 21:18:38.129549,0 days 00:00:29.825535000,391.21440963231476,64.21659138956039,COMPLETE
41,41,1.4230565949114047,2022-03-31 21:18:38.131557,2022-03-31 21:18:53.090226,0 days 00:00:14.958669000,268.2671336779445,43.260157276550274,COMPLETE
42,42,1.2739853964114187,2022-03-31 21:18:53.092214,2022-03-31 21:19:10.490203,0 days 00:00:17.397989000,260.69660222366326,54.131384546011134,COMPLETE
43,43,1.5138655966817727,2022-03-31 21:19:10.492210,2022-03-31 21:19:36.060865,0 days 00:00:25.568655000,290.13844167251625,68.99268819535232,COMPLETE
44,44,1.4543042115200555,2022-03-31 21:19:36.062867,2022-03-31 21:20:00.946114,0 days 00:00:24.883247000,297.3601115007042,72.29157439663369,COMPLETE
45,45,1.3620570593379155,2022-03-31 21:20:00.946114,2022-03-31 21:20:26.276477,0 days 00:00:25.330363000,344.9129342366592,66.1535782644178,COMPLETE
46,46,1.4282289507349721,2022-03-31 21:20:26.276477,2022-03-31 21:20:43.939556,0 days 00:00:17.663079000,218.6236996923116,72.97446489596933,COMPLETE
47,47,1.3972697947206003,2022-03-31 21:20:43.939556,2022-03-31 21:21:02.168890,0 days 00:00:18.229334000,286.3600312804258,57.508067744180984,COMPLETE
48,48,1.4636928302717374,2022-03-31 21:21:02.168890,2022-03-31 21:21:53.187960,0 days 00:00:51.019070000,466.4405767177635,99.61436496809324,COMPLETE
49,49,1.3427588204886236,2022-03-31 21:21:53.187960,2022-03-31 21:22:06.024891,0 days 00:00:12.836931000,230.32051950931765,49.758795839876726,COMPLETE
