Date,ADANIPORTS,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BAJAJFINSV,BPCL,BHARTIARTL,BRITANNIA,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HEROMOTOCO,HINDALCO,HINDUNILVR,HDFC,ICICIBANK,ITC,IOC,INDUSINDBK,INFY,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NTPC,NESTLEIND,ONGC,POWERGRID,RELIANCE,SHREECEM,SBIN,SUNPHARMA,TCS,TATACONSUM,TATAMOTORS,TATASTEEL,TECHM,TITAN,UPL,ULTRACEMCO,WIPRO
2016-01-01,259.29550170898443,845.42041015625,440.8476867675781,2136.002197265625,601.3766479492188,1978.0638427734373,196.81761169433597,303.1690368652344,1374.4281005859375,638.7059936523438,191.55763244628903,1103.9776611328123,2943.701904296875,1550.400146484375,563.7883911132812,376.5255432128906,526.2291259765625,2213.21337890625,81.98336791992188,781.8441162109375,1158.53369140625,227.0727996826172,181.94692993164062,69.66428375244139,939.192138671875,472.67041015625,92.1197280883789,725.2042236328125,766.0189819335938,598.73046875,4352.27197265625,88.4658432006836,5280.4697265625,121.5198745727539,81.0266342163086,484.9963684082031,11077.6591796875,220.79307556152344,779.0709228515625,1075.6993408203123,135.2275390625,401.7373046875,215.0947113037109,444.897216796875,340.026611328125,276.15939331054693,2772.25244140625,202.64573669433597
2016-01-04,249.99169921875,847.3927001953125,429.5790710449219,2106.60888671875,597.0950927734375,1953.833984375,195.8072509765625,290.9710693359375,1368.0772705078125,629.2523803710938,189.34988403320312,1091.822021484375,2893.89208984375,1561.5079345703125,547.2537231445311,376.5700988769531,517.4083251953125,2173.457763671875,77.97593688964844,784.0802612304688,1120.098388671875,220.64048767089844,180.6136016845703,68.57088470458984,910.3005981445312,461.4014587402344,93.70736694335938,703.3159790039062,746.262451171875,587.9183349609375,4297.99169921875,87.73118591308594,5175.18115234375,119.2899169921875,80.99790954589844,475.4192199707031,10762.12109375,213.9114532470703,763.3566284179688,1054.86572265625,132.73359680175778,376.8973388671875,214.67686462402344,441.774658203125,339.3988037109375,272.0830078125,2698.7744140625,203.1009521484375
2016-01-05,247.8111114501953,866.4898681640625,427.6683349609375,2122.726318359375,591.7086181640625,1940.373046875,198.26730346679688,287.9883117675781,1365.36181640625,624.5742797851562,186.82672119140625,1089.7327880859377,2907.7646484375,1531.572509765625,547.530517578125,375.1678466796875,513.493408203125,2156.195068359375,79.76238250732422,773.994140625,1113.3780517578123,221.6334228515625,180.4746856689453,71.17576599121094,911.32373046875,459.327392578125,97.15177917480469,705.759033203125,746.8270874023438,591.0886840820312,4285.13720703125,87.08834838867188,5168.42822265625,121.19418334960938,79.96353149414062,480.1242065429688,10825.375,211.0522003173828,764.694091796875,1045.673095703125,137.02873229980472,374.2984313964844,229.2170867919922,446.4798889160156,335.8251953125,272.99234008789057,2682.96923828125,202.8096008300781
2016-01-06,244.0314178466797,852.7803955078125,422.0340270996094,2108.4326171875,602.5012817382812,1932.9447021484373,200.3869781494141,286.8753662109375,1381.469970703125,635.5385131835938,188.0309295654297,1079.951171875,2884.659423828125,1564.1629638671875,546.528076171875,374.5447082519531,515.7649536132811,2124.34912109375,77.78280639648438,769.5215454101562,1113.2862548828123,215.93502807617188,175.05795288085938,72.49427032470703,919.8012084960938,457.3173828125,94.91830444335938,701.6207275390625,734.91357421875,580.1820678710938,4204.302734375,86.59859466552734,5220.5458984375,119.03936767578124,80.1646728515625,493.04498291015625,11144.609375,210.1798858642578,756.5265502929688,1060.2078857421877,134.16529846191406,365.7518615722656,224.5792694091797,449.2174072265625,335.97003173828125,278.04080200195307,2685.178466796875,202.15408325195312
2016-01-07,237.4412078857422,839.26318359375,401.0155944824219,2052.2333984375,602.4075927734375,1921.477783203125,194.2257537841797,287.0089111328125,1356.088134765625,621.2606201171875,187.17079162597656,1070.21728515625,2833.09765625,1520.482666015625,532.28271484375,367.2666015625,510.4966735839844,2076.47607421875,74.01678466796875,748.7100830078125,1085.80615234375,213.04263305664062,172.00234985351562,70.99888610839844,901.8231811523438,449.3843078613281,92.0614242553711,689.7044067382812,716.8208618164062,566.6019287109375,4004.540283203125,84.39458465576172,5147.0234375,113.55216979980469,79.3601303100586,483.9932861328125,10683.9306640625,203.1044158935547,748.7412109375,1055.600341796875,129.36215209960938,343.4109191894531,208.82737731933597,436.98388671875,332.2998352050781,261.7666015625,2618.816650390625,200.2421722412109
2016-01-08,233.9522857666016,841.4277954101562,405.3760986328125,2015.4171142578125,622.9471435546875,1994.61572265625,198.4649810791016,288.3444519042969,1335.722900390625,606.5440673828125,184.13156127929688,1072.8289794921877,2850.9951171875,1538.8465576171875,535.0509643554689,368.7354736328125,513.4690551757811,2051.38671875,74.2582015991211,739.217041015625,1081.1568603515623,211.57485961914062,174.2523651123047,71.84305572509766,922.8218994140624,454.7300415039063,93.38895416259766,693.1446533203125,700.5996704101562,566.8621826171875,3954.669921875,85.43537139892578,5141.181640625,115.33113098144531,81.4001693725586,489.9640808105469,10853.20703125,202.5228729248047,758.6281127929688,1067.330322265625,133.42634582519528,353.20697021484375,211.91928100585938,446.6937561035156,336.11492919921875,266.81503295898443,2655.629638671875,202.4090118408203
2016-01-11,226.82904052734372,840.7062377929688,408.8056640625,2002.3961181640625,622.1283569335938,1937.7806396484373,195.0604248046875,285.94049072265625,1343.5469970703125,594.556396484375,181.1783447265625,1044.149169921875,2775.996337890625,1538.6412353515625,541.9942016601561,362.5924987792969,511.6566162109375,2064.4052734375,75.22384643554688,740.951416015625,1069.3271484375,206.73985290527344,175.58572387695312,71.21595764160156,912.7853393554688,451.47979736328125,91.46044921875,698.8784790039062,697.18310546875,550.11181640625,4008.762939453125,86.6904067993164,4992.12744140625,113.00094604492188,82.31961822509766,502.3116760253906,10618.830078125,198.01589965820312,747.2603759765625,1051.638427734375,131.0709228515625,360.05419921875,210.28976440429688,433.9896545410156,333.2657165527344,266.47012329101557,2676.834228515625,195.7263641357422
2016-01-12,229.9303131103516,839.7922973632812,397.9289855957031,1988.6959228515625,612.5195922851562,1951.83984375,195.52171325683597,280.82086181640625,1353.165771484375,595.9210205078125,181.2070159912109,1044.9090576171877,2768.184326171875,1523.262939453125,531.1529541015625,360.5893249511719,506.02581787109375,2032.8883056640625,73.00285339355469,748.2080688476562,1060.397216796875,204.4086761474609,175.0857391357422,70.74964904785156,889.8866577148438,449.0207824707031,90.84600830078124,690.0534057617188,700.6294555664062,559.2440795898439,4005.57177734375,88.89440155029297,4965.29150390625,110.92134857177734,82.03228759765625,499.3740539550781,10311.3681640625,193.2666320800781,752.8965454101562,1035.92431640625,128.85411071777344,354.8562927246094,205.3594665527344,434.07525634765625,335.052490234375,266.47012329101557,2621.123779296875,199.8961944580078
2016-01-13,223.09783935546875,835.6072387695312,398.5169372558594,2010.200439453125,599.6007690429688,1981.703125,196.7846527099609,274.76644897460943,1337.057861328125,593.1920776367188,181.95249938964844,1029.856689453125,2737.59716796875,1522.896728515625,527.7637329101561,367.86749267578125,512.40576171875,2038.244384765625,74.0650634765625,760.119873046875,1074.9429931640623,206.78302001953125,175.41905212402344,70.62102508544922,912.4443969726562,463.3259582519531,90.02976989746094,687.21142578125,687.3197021484375,570.1981201171875,4026.449462890625,88.31282043457031,5021.244140625,111.848388671875,82.11849212646484,514.3727416992189,10256.9208984375,194.7204742431641,760.9685668945312,1014.6227416992188,125.251708984375,364.452392578125,206.0697326660156,431.5516052246094,337.998291015625,257.81564331054693,2635.162109375,199.02212524414062
2016-01-14,220.7718811035156,855.66650390625,382.7408447265625,2004.0499267578125,599.4085083007812,1943.2646484375,199.7499847412109,274.89996337890625,1333.56005859375,598.698486328125,182.7266387939453,1032.7056884765623,2760.3720703125,1516.2298583984375,523.6039428710939,368.9579772949219,507.3791198730469,2008.457763671875,72.1337661743164,755.099609375,1067.256103515625,203.54527282714844,176.25241088867188,70.00999450683594,893.5405883789062,484.537841796875,90.00733184814453,682.1755981445312,674.1882934570312,562.3908081054689,3986.102783203125,87.66997528076172,5126.212890625,111.87345123291016,82.08976745605469,507.1122741699219,9918.8564453125,190.0196685791016,756.430908203125,1014.444580078125,123.82001495361328,354.15655517578125,199.50994873046875,439.7214660644531,330.0301208496094,249.9451141357422,2578.666259765625,198.5669403076172
