,55848
Returns,0.27770410329400125
Standard Deviation,0.17465326958372446
Sharpe Ratio,1.3850533910448117
ASIANPAINT Weight,0.06743124513592418
BAJFINANCE Weight,0.03280365167324209
BAJAJFINSV Weight,0.06248444606982673
BRITANNIA Weight,0.03280365167324209
DIVISLAB Weight,0.05259084793763186
GRASIM Weight,0.008069656342754895
HCLTECH Weight,0.04764404887153442
HDFCBANK Weight,0.03775045073933954
HINDALCO Weight,0.03280365167324209
HINDUNILVR Weight,0.06743124513592418
ICICIBANK Weight,0.06743124513592418
INFY Weight,0.06743124513592418
JSWSTEEL Weight,0.013016455408852335
LT Weight,0.05259084793763186
NESTLEIND Weight,0.05753764700372929
POWERGRID Weight,0.027856852607144655
RELIANCE Weight,0.03775045073933954
TCS Weight,0.06743124513592418
TATACONSUM Weight,0.03775045073933954
TATASTEEL Weight,0.008069656342754895
TECHM Weight,0.03280365167324209
TITAN Weight,0.042697249805436974
ULTRACEMCO Weight,0.022910053541047217
WIPRO Weight,0.022910053541047217
