,Date,Returns,Risk,Ratio
0,2021-01-01,-128.4670368147309,8.281951828954536,-15.943951322329742
1,2021-01-04,-131.6591707434633,8.438529464866322,-16.026390771819823
2,2021-01-05,-128.72046679610864,8.34673375146513,-15.850567507665557
3,2021-01-06,-128.46757813883468,8.35045289367155,-15.81322352454774
4,2021-01-07,-129.49815690104077,8.366028330100482,-15.906969430432516
5,2021-01-08,-128.38426064538965,8.318435270946303,-15.864072550555225
6,2021-01-11,-130.95591113918482,8.428371293087784,-15.962266784511435
7,2021-01-12,-126.64397487219874,8.30860571579505,-15.673384840567996
8,2021-01-13,-128.01874149299704,8.33662096476031,-15.785621302596992
9,2021-01-14,-121.66950748487102,7.474732617210149,-16.756386335009648
10,2021-01-15,-122.34606176684713,7.475192601102851,-16.845861837495487
11,2021-01-18,-130.049974103002,7.80795272358487,-17.11459826073952
12,2021-01-19,-129.9706912058279,7.895142569755549,-16.915551559186465
13,2021-01-20,-125.42971147690434,7.8105499222510115,-16.517365967968047
14,2021-01-21,-123.59614832718341,7.857543828828946,-16.185229264720142
15,2021-01-22,-124.12629186763724,7.844179095671381,-16.28038961248461
16,2021-01-25,-127.72299102291554,8.03577988859352,-16.33979437506683
17,2021-01-27,-128.54532603511498,8.075674534227431,-16.360902792097836
18,2021-01-28,-128.26498402466308,8.145809576788471,-16.185620690220414
19,2021-01-29,-130.30123657429382,8.237663826429605,-16.25233068442914
20,2021-02-01,-134.50999375428992,8.607610417677897,-16.04277924459584
21,2021-02-02,-129.428387806935,8.440433376674578,-15.758478489328304
22,2021-02-03,-129.06852056981927,8.440931724437757,-15.714914526056646
23,2021-02-04,-128.43957534035806,8.469903125646363,-15.586904995478715
24,2021-02-05,-129.98040028471198,8.410027576133839,-15.881089458461782
25,2021-02-08,-131.05746262690403,8.39094401554965,-16.045567981075916
26,2021-02-09,-132.13708030732565,8.341800424560947,-16.269518976710454
27,2021-02-10,-128.3478067586125,8.178380619142363,-16.131287219602076
28,2021-02-11,-126.04254737466599,8.187504030776875,-15.831753717300666
29,2021-02-12,-126.00924030651461,8.188148517893769,-15.826439887273658
30,2021-02-15,-128.03167550725004,8.155528247027387,-16.13772542020454
31,2021-02-16,-127.03875957077855,8.01221835732555,-16.30244630706478
32,2021-02-17,-131.704192324631,8.068830881995378,-16.76626940174212
33,2021-02-18,-132.95747095199303,8.110649654071281,-16.834344568619816
34,2021-02-19,-133.4226680117611,8.134318165984537,-16.842550932500806
35,2021-02-22,-134.9997959178276,8.149187856948355,-17.005350514734843
36,2021-02-23,-140.78443356801074,8.49407400576639,-16.995900138144048
37,2021-02-24,-140.46548756719562,8.508774122253266,-16.929052939655424
38,2021-02-25,-135.47436286670666,8.360791128983267,-16.63172308953694
39,2021-02-26,-137.1561485127756,8.300381657229735,-16.955382815462787
40,2021-03-01,-147.59970758102153,9.719177431477197,-15.554784203383354
41,2021-03-02,-146.90191683200945,9.843754190726422,-15.287045360577478
42,2021-03-03,-145.91167307801015,9.889857235315482,-15.115655314436037
43,2021-03-04,-145.01003804842492,9.932678994629049,-14.959714104198154
44,2021-03-05,-147.3382520219475,9.892643261571294,-15.255604395258109
45,2021-03-08,-153.37718923598237,10.022487956239255,-15.660501656005732
46,2021-03-09,-150.91466165585229,9.907374647753379,-15.593905262367958
47,2021-03-10,-150.99384896651816,9.903895852098447,-15.607378275667841
48,2021-03-12,-148.7991897198578,9.962740138448565,-15.294907585895023
49,2021-03-15,-149.56299365255546,9.902634246519678,-15.464874278920098
50,2021-03-16,-151.77276912064053,9.881962221210111,-15.72084224195876
51,2021-03-17,-149.8977894780708,9.909044899731128,-15.48865617535301
52,2021-03-18,-154.48342900950684,9.956591305496605,-15.875255311749797
53,2021-03-19,-158.2720277467846,10.039540573092388,-16.121457607390376
54,2021-03-22,-157.60327013058563,10.07367968406167,-16.00043630388664
55,2021-03-23,-148.42030533393034,9.147834283269523,-16.615988071835076
56,2021-03-24,-148.6248831136538,9.136348267411035,-16.65926896160057
57,2021-03-25,-153.71213621738931,9.20334376852209,-17.090759638401288
58,2021-03-26,-161.10948312863044,9.640944914198746,-17.0822968696858
59,2021-03-30,-166.3980443771864,9.81097031973011,-17.32530410731712
60,2021-03-31,-159.71367467664567,9.713074849570441,-16.811738528285645
61,2021-04-01,-161.29659682181457,9.668519488817969,-17.052931114479414
62,2021-04-05,-160.09827964646274,9.711769074329831,-16.85360086239051
63,2021-04-06,-159.81334653783915,9.66372409597511,-16.907906818851707
64,2021-04-07,-163.25577957871303,9.766838322611962,-17.08186150603708
65,2021-04-08,-162.805251099885,9.783707632135242,-17.00635969061274
66,2021-04-09,-160.19902722880082,9.843609616571852,-16.638106711696143
67,2021-04-12,-159.94989096327686,9.8425022962178,-16.614666275070807
68,2021-04-13,-169.294838019652,10.986427123265647,-15.73531013131283
69,2021-04-15,-175.02410666868343,11.111543834947996,-16.073743605900948
70,2021-04-16,-172.26481041333003,11.05058155984138,-15.912720019402679
71,2021-04-19,-170.50410308686835,11.077844886496903,-15.714618219565828
72,2021-04-20,-170.43990146927996,11.066932884294221,-15.724311630753856
73,2021-04-22,-166.51904480108328,10.973229096249112,-15.501275268118372
74,2021-04-23,-166.719046999004,10.96758553077328,-15.527487478549613
75,2021-04-26,-170.1268057380943,10.914073073711188,-15.915855113385966
76,2021-04-27,-167.3550069947844,10.763515121959802,-15.880965006129042
77,2021-04-28,-166.10139097229478,10.823517039387335,-15.677102955981447
78,2021-04-29,-160.9001231940395,10.714535758573156,-15.351119908525385
