,MSE,RMSE,MAE,R2,MAPE
ADANIPORTS,0.0009764932177072754,0.03124889146365476,0.023417667201281737,0.9635889888761667,40.17805244712102
ASIANPAINT,0.0004844899955462486,0.02201113344528738,0.016754619608174533,0.9782172989651023,30.486345473901473
AXISBANK,0.0030314537891104583,0.055058639550123814,0.03874823974120655,0.8732030817040592,inf
BAJAJ-AUTO,0.0019122878900485589,0.04372971404032456,0.030734488338256948,0.949591241108134,inf
BAJFINANCE,0.0003823670616013807,0.019554208283675937,0.013805906499429626,0.947071947213864,44.78411370395991
BPCL,0.00045255674599563425,0.021273381160399354,0.01503236453286819,0.767532893376945,62.92890394379378
BHARTIARTL,0.0022778464611041866,0.047726789763236604,0.03534163178679236,0.9173258141342681,30.058525151608016
BRITANNIA,0.0004307283526639259,0.020753996064949178,0.014459462068462894,0.9359367896666894,inf
CIPLA,0.0014251347920649895,0.03775095749865147,0.025037295193686034,0.9727855163086597,inf
DIVISLAB,0.0007656673555079621,0.02767069488661176,0.02088178807539097,0.9736182218529804,29.632664575504077
DRREDDY,0.0008474850940155122,0.029111597242602684,0.02138977064712475,0.9748218362442009,36.16047816329386
GAIL,0.00026625424960141067,0.01631729909027259,0.012928252585748473,0.6195875544479963,inf
GRASIM,7.745872987265182e-05,0.008801064132970047,0.006508990323690612,0.8970757556229865,inf
HCLTECH,0.0010049926161438912,0.031701618509847276,0.022636623019602984,0.9740357610376287,inf
HDFCBANK,0.0007458329444648382,0.027309942227416707,0.019866220615668412,0.9256005965883544,inf
HEROMOTOCO,0.0013578873001310497,0.036849522386742675,0.027854634686120455,0.9652215949232472,inf
HINDALCO,0.0016718758662886929,0.04088857867777618,0.030768908161412336,0.9529161231092499,55.652594900611454
HINDUNILVR,0.0024303903431584857,0.049298989271165446,0.04009547828100263,0.43427874776330455,8.789705463091895
HDFC,0.0022352955658239814,0.04727891248563128,0.03512964547078738,0.8929456120720484,31.62541146017073
ICICIBANK,0.003361057141294235,0.05797462497760753,0.04441317512863541,0.8780595930038412,34.88526662841551
ITC,0.0012737552080019604,0.03568970731180014,0.027056958184203162,0.7382541207806383,inf
IOC,3.905518704510829e-05,0.006249414936224693,0.004711316661666424,0.6187126624425809,inf
INDUSINDBK,0.003926888412505042,0.06266488979089521,0.044807807143386655,0.5633854109368227,inf
INFY,0.001120370707944942,0.03347193911241089,0.023552632392997597,0.9769635451129274,inf
JSWSTEEL,8.014520173874284e-05,0.008952385254151145,0.006994099468212828,0.9538164965617312,inf
KOTAKBANK,0.0023033681075937586,0.04799341733606556,0.03503823537028924,0.9192000898871987,28.176136536597546
LT,0.002449194609490754,0.049489338341614085,0.037276682265307226,0.79569659247312,inf
M&M,0.0005864105630875547,0.024215915491419163,0.019402488707342874,0.9414670705326,inf
NTPC,0.0022261874560671044,0.04718249099048401,0.03576498600923842,0.3310355450466945,inf
ONGC,0.0007144136858663616,0.026728518213069007,0.021462246746556533,0.390458449685573,inf
POWERGRID,0.0034987307067795544,0.05915006937256755,0.04381248782205433,0.7908416077681445,36.28008221189781
RELIANCE,0.008483293933885248,0.09210479864743883,0.07618765098913484,0.8548544404814988,60.16984744312901
SBIN,0.0018654858946140652,0.043191271046521255,0.03300777002945666,0.8953166964756321,inf
SUNPHARMA,0.0008096438831776499,0.02845424191887125,0.019684946396810767,0.9098924983859465,inf
TCS,0.0010900404647993201,0.03301576085446646,0.02316086871660785,0.9674184864302168,inf
TATAMOTORS,0.0003612510596808335,0.01900660568541457,0.014514065688723371,0.9132167385147301,inf
TATASTEEL,0.0007481573314085955,0.02735246481413687,0.020899412075108564,0.9785827301816067,89.29260820641032
TECHM,0.002504263650904487,0.05004261834581088,0.0420106127954929,0.9420224730075202,60.1742523244093
TITAN,0.0019047280844308803,0.04364319058491119,0.03581613677859747,0.9089849964168011,24.634360300374933
UPL,0.0017635058034367048,0.04199411629546102,0.026941616157050617,0.6969568750629521,inf
ULTRACEMCO,0.001212187794670691,0.03481648739707512,0.02562663920573498,0.9648840255384028,50.50353364723158
WIPRO,0.0004887717135600823,0.02210818205009363,0.014818214414552352,0.9792837581949426,inf
