,Returns,Standard Deviation,Sharpe Ratio,ASIANPAINT Weight,BAJFINANCE Weight,BAJAJFINSV Weight,BRITANNIA Weight,DIVISLAB Weight,GRASIM Weight,HCLTECH Weight,HDFCBANK Weight,HINDALCO Weight,HINDUNILVR Weight,ICICIBANK Weight,INFY Weight,JSWSTEEL Weight,LT Weight,NESTLEIND Weight,POWERGRID Weight,RELIANCE Weight,TCS Weight,TATACONSUM Weight,TATASTEEL Weight,TECHM Weight,TITAN Weight,ULTRACEMCO Weight,WIPRO Weight
21,26.6,17.44133022449836,1.3198534574883376,5.403049818975787,3.715056021798375,2.991967767705784,3.2282019580416814,5.025488306723687,2.756102318393832,3.7749958373200854,5.875788388857788,2.488181865642887,5.922229779651284,2.400909624227919,6.894002020543713,5.680100226259753,1.5419378659906269,6.643387864055322,4.0748599461352475,3.6725597847895237,4.367667496782181,5.100296922579438,3.9390617345176744,3.4793525019063445,3.0157583777533024,5.445073081886507,2.56397048946128
23,26.6,17.44133022449836,1.3198534574883376,5.392897561794545,3.7015538555228544,2.9922559598664167,3.222227775772415,5.021028363561979,2.7547145941060966,3.768341857882011,5.888136270626719,2.49392366440122,5.918243192043827,2.4083229825004753,6.916998541161173,5.677850585959362,1.5391805289894995,6.660268158620617,4.069422350488892,3.6639906527145265,4.362744499209751,5.124361960313371,3.942907708562958,3.471112446840146,3.009865026105569,5.441839358691958,2.5578121042635993
24,26.6,17.44133022449836,1.3198534574883376,5.388900359491031,3.6962377086625615,2.992369428462393,3.2198755880074668,5.019272370312278,2.7541682116986634,3.7657220166523646,5.892997946268814,2.49618435685743,5.916673570935616,2.41124181052412,6.92605285721562,5.676964845258527,1.5380948951628826,6.666914360653907,4.0672814305481175,3.6606167670989636,4.360806189641209,5.133836978779414,3.944421966529304,3.4678681272269127,3.0075446634156577,5.440566159483998,2.555387391112757
25,26.6,17.44133022449836,1.3198534574883376,5.385482094149306,3.6916915288136987,2.9924664627727795,3.21786408063215,5.0177707072965,2.7537009648833046,3.763481621546953,5.89715547848465,2.4981176206966325,5.9153312867512176,2.413737888509191,6.933795786497611,5.676207391292094,1.5371664996998688,6.672597956413999,4.06545059190717,3.657731540034901,4.359148616189432,5.141939677811234,3.9457169061224873,3.465093700403019,3.0055603717133876,5.439477364773293,2.5533138626051133
26,26.6,17.44133022449836,1.3198534574883376,5.3825582934008525,3.687802970519978,2.9925494607150034,3.2161435451612257,5.016486265332368,2.7533013070300134,3.761565307793873,5.900711608447999,2.4997712308453304,5.914183168887146,2.415872899677536,6.940418672718167,5.675559505814352,1.5363724000387091,6.6774593992442055,4.063884590776903,3.6552636716262126,4.3577308168045334,5.148870291770469,3.9468245279637584,3.4627206045742063,3.003863115068789,5.438546068202715,2.5515402775856653
27,26.6,17.44133022449836,1.3198534574883376,5.380057509186333,3.6844770102255486,2.9926204504853757,3.2146719373752006,5.0153876568892075,2.75295947181732,3.7599262469973036,5.903753236261325,2.5011855960885905,5.913201161124681,2.4176990166694146,6.946083357400829,5.675005356638349,1.5356931909994354,6.681617486793774,4.0625451592480735,3.6531528552981083,4.356518145139755,5.154798182032946,3.9477718986824275,3.4606908490953563,3.0024114181202033,5.4377495119517585,2.5500232954786966
28,26.6,17.44133022449836,1.3198534574883376,5.377919057725449,3.68163294050967,2.992681154714585,3.213413547386331,5.014448223244123,2.752667164306051,3.7585246658714504,5.906354169761747,2.5023950372723256,5.912361434161414,2.419260551857599,6.95092729921906,5.6745314968354545,1.5351123909632516,6.685173118800419,4.06139979480881,3.651347870192122,4.35548117462544,5.159867194192473,3.948582007081854,3.4589551801224863,3.0011700541342825,5.437068366865891,2.548726105347718
29,26.6,17.44133022449836,1.3198534574883376,5.376091219471955,3.679201976086404,2.992733041565574,3.2123379403868073,5.013645243712198,2.7524173148890063,3.757326666457354,5.908577313861031,2.503428805352368,5.911643678769709,2.4205952717721497,6.955067651392126,5.674126465863106,1.534615952983159,6.688212290049324,4.060420796232236,3.6498050618169686,4.354594825597425,5.164199924910048,3.949274446049506,3.457471619610571,3.0001090000858364,5.4364861591015785,2.547617333983565
30,26.6,17.44133022449836,1.3198534574883376,5.374529790465782,3.677125327150863,2.9927773658563135,3.2114191041795617,5.01295929924741,2.7522038812735294,3.7563032766519537,5.910476432491952,2.504311900704349,5.911030536941757,2.4217354549287884,6.9586045431091215,5.673780468558686,1.5341918713334832,6.690808499059443,4.0595844876740035,3.6484871193002686,4.3538376628237,5.167901155806939,3.949865961347443,3.4562042895219878,2.9992025957225437,5.435988808699223,2.5466701671508916
0,27.0,17.88854381999832,1.309217800826127,5.403610887700997,6.812699889636677,4.0205440192999715,3.717242423432274,5.92068700919049,2.8820369212269323,5.294025492180234,2.792622803234659,1.5532509070729303,6.2240721691307135,1.66128100436949,3.0146586362547034,4.981774463174349,2.9727578035304503,5.166274287801306,4.424937462350696,4.614699226027769,4.8182319405488325,2.0431537510726527,3.630111169804872,5.4216626001003405,4.062929106943612,4.626165265528628,3.9405707603863847
