,42
Returns,30.599999999999998
Standard Deviation,19.677398201998148
Sharpe Ratio,1.3731490170919165
ASIANPAINT Weight,0.32984722535634736
BAJFINANCE Weight,16.082762621298453
BAJAJFINSV Weight,0.6452435259971768
BRITANNIA Weight,1.8584137222679775
DIVISLAB Weight,2.587334907222275
GRASIM Weight,6.997419058214449
HCLTECH Weight,0.706493304747845
HDFCBANK Weight,0.39596802825178956
HINDALCO Weight,0.4063298326763424
HINDUNILVR Weight,0.8541444694463144
ICICIBANK Weight,2.0297569626143774
INFY Weight,10.476399583044584
JSWSTEEL Weight,0.1012663397549256
LT Weight,2.8293919076339793
NESTLEIND Weight,0.0968587948736122
POWERGRID Weight,0.5594864415655001
RELIANCE Weight,7.766420549815699
TCS Weight,19.003925520002944
TATACONSUM Weight,0.22296221088176438
TATASTEEL Weight,0.035660801083563703
TECHM Weight,0.9904371576095176
TITAN Weight,22.025525753064652
ULTRACEMCO Weight,0.2593674319622304
WIPRO Weight,2.7385838506136957
