,Returns,Semi Deviation,Sortino Ratio,ASIANPAINT Weight,BAJFINANCE Weight,BAJAJFINSV Weight,BRITANNIA Weight,DIVISLAB Weight,GRASIM Weight,HCLTECH Weight,HDFCBANK Weight,HINDALCO Weight,HINDUNILVR Weight,ICICIBANK Weight,INFY Weight,JSWSTEEL Weight,LT Weight,NESTLEIND Weight,POWERGRID Weight,RELIANCE Weight,TCS Weight,TATACONSUM Weight,TATASTEEL Weight,TECHM Weight,TITAN Weight,ULTRACEMCO Weight,WIPRO Weight
13,26.400000000000002,11.180339887498949,2.0410828498618083,3.6600452987211463,5.866168900801292,1.395974163832394,4.866932471565629,2.045629044530548,2.5795890237902497,3.94346777998361,4.2706469570438115,1.853732531688115,4.78578197394431,4.7495775286069835,4.394074405452277,3.937798325760615,2.570942622137153,6.759372319040778,1.8905705739233585,5.129536942819135,6.393377859990049,2.8812364735680682,4.732632677454478,7.0209572500440185,4.393661481042046,5.968965481091907,3.909327913168028
10,26.400000000000002,11.180339887498949,2.0410828498618083,3.697953767441115,5.805857090978996,1.4397789803657577,4.894190350696906,2.095593698195772,2.5490556947306233,3.9144582891230337,4.2592029588028,1.8974506387939505,4.795716189127778,4.738290930785037,4.3988041455566576,3.971975424588873,2.6154633347343146,6.736471473460025,1.8920132557650258,5.15443017274621,6.329582955530609,2.8873867679069583,4.739905672108657,6.99016303029764,4.379542205029215,5.90046088729178,3.9162520859422436
11,26.400000000000002,11.180339887498949,2.0410828498618083,3.6826523663199633,5.830201392545248,1.4220975732435963,4.883187961088913,2.0754259300577695,2.5613801892639367,3.926167700528099,4.263822222345442,1.8798042311264336,4.791706335486132,4.742846661111222,4.396895029916285,3.9581801562494543,2.5974929628187153,6.745715186964605,1.891430930646262,5.144382251815167,6.355333175879273,2.884904258750821,4.736969995403339,7.002592830932246,4.385241319583501,5.928112129976381,3.913457207947222
12,26.400000000000002,11.180339887498949,2.0410828498618083,3.670215196066235,5.849988745408574,1.4077259043380728,4.874245081174255,2.059033315813881,2.571397692601592,3.9356852566043465,4.267576817540469,1.8654610102154925,4.788447076282425,4.746549615713104,4.395343276840512,3.94696718956263,2.5828864197140993,6.753228592941149,1.8909576095047689,5.136215175981656,6.376263277117164,2.8828864442522093,4.734583840651569,7.012695928386421,4.389873631189864,5.9505874059509525,3.911185496148592
14,26.400000000000002,11.180339887498949,2.0410828498618083,3.6516927813443965,5.879457631699002,1.3863224816717918,4.860926639180807,2.034620141980437,2.5863165485400486,3.949859551655885,4.273168456787671,1.8440999545461176,4.783593130455081,4.752064347716681,4.393032283790724,3.9302679553318147,2.5611332038686383,6.764418149619387,1.8902527023353326,5.124052122604811,6.40743403440273,2.8798813557784997,4.731030190825995,7.0277422578330455,4.396772434932466,5.984059359304964,3.9078022837936652
15,26.400000000000002,11.180339887498949,2.0410828498618083,3.644811747932701,5.890405253497516,1.3783711605992934,4.855978869371907,2.025550705443343,2.591858868357332,3.9551252688586147,4.275245737588473,1.8361643727131103,4.78178990102101,4.754113057657746,4.392173755319756,3.924064229175286,2.5530519354545396,6.768575043551486,1.8899908309833586,5.11953357694372,6.419013897264614,2.8787649724935327,4.729710018291772,7.0333319337581575,4.399335324262313,5.996494111082341,3.9065454283780667
16,26.400000000000002,11.180339887498949,2.0410828498618083,3.6391316697574325,5.899442173379807,1.3718075933868894,4.851894639921719,2.0180641688355156,2.5964338802706615,3.9594719539523884,4.276960468012612,1.8296137977513443,4.780301391441031,4.755804203729489,4.391465066880242,3.918943246985728,2.546381100770116,6.772006429665746,1.8897746643609814,5.115803658622165,6.428572712398782,2.8778434329582945,4.728620257095952,7.037946036659491,4.401450909360818,6.0067586103166475,3.9055079334861706
1,26.400000000000002,11.180339887498949,2.0410828498618083,4.455699363285154,4.600295119910707,2.3153856172391443,5.43904321764734,3.0943282169222384,1.9387304454492955,3.3345927688441988,4.030450926373584,2.7713240564409714,4.994289438262362,4.512685147158712,4.493346073906694,4.6551353355614005,3.505379889885649,6.278710570266973,1.920850764866304,5.652016490012522,5.054398029214515,3.010323900579483,4.885284260426545,6.374622883776823,4.097314524078534,4.531134823752195,4.054658136138681
29,28.199999999999996,12.074767078498864,2.038962726149808,4.059107308558159,1.2567418492193971,17.90769446234541,3.0936509476928817,7.310317379972774,3.221874815080953,20.403730101198946,0.023222036347356673,1.6839670002961173,5.446990659258484,0.5576867230713243,0.16187320058797305,0.20293314898247503,2.155344500406782,2.101532238858058,4.986191704718988,10.573774047014117,1.2031191324219188,11.812650586971216,0.24929792970712683,0.13321428271870034,1.0166336142585304,0.025838149676068144,0.41261418063622674
31,27.999999999999996,12.074767078498864,2.0223992596498097,4.648520110715909,1.174896347395535,17.2664496937476,2.7166682391692043,6.701374930938829,2.95207843120907,18.745282634518144,0.020636637187016145,1.6714426322608684,5.657733652100423,0.5712792619919604,0.18099304111297718,0.18107563253892994,2.0228802664914807,2.4364317575136485,7.22285671373335,10.008699692879771,1.1486683653584957,12.715725238256418,0.2355994749166294,0.12379821685567752,1.0555564733336542,0.025226530967804184,0.5161260248066369
