Date,Adj Close
2016-01-04,7791.299805
2016-01-05,7784.649902
2016-01-06,7741
2016-01-07,7568.299805
2016-01-08,7601.350098
2016-01-11,7563.850098
2016-01-12,7510.299805
2016-01-13,7562.399902
2016-01-14,7536.799805
2016-01-15,7437.799805
2016-01-18,7351
2016-01-19,7435.100098
2016-01-20,7309.299805
2016-01-21,7276.799805
2016-01-22,7422.450195
2016-01-25,7436.149902
2016-01-27,7437.75
2016-01-28,7424.649902
2016-01-29,7563.549805
2016-02-01,7555.950195
2016-02-02,7455.549805
2016-02-03,7361.799805
2016-02-04,7404
2016-02-05,7489.100098
2016-02-08,7387.25
2016-02-09,7298.200195
2016-02-10,7215.700195
2016-02-11,6976.350098
2016-02-12,6980.950195
2016-02-15,7162.950195
2016-02-16,7048.25
2016-02-17,7108.450195
2016-02-18,7191.75
2016-02-19,7210.75
2016-02-22,7234.549805
2016-02-23,7109.549805
2016-02-24,7018.700195
2016-02-25,6970.600098
2016-02-26,7029.75
2016-02-29,6987.049805
2016-03-01,7222.299805
2016-03-02,7368.850098
2016-03-03,7475.600098
2016-03-04,7485.350098
2016-03-08,7485.299805
2016-03-09,7531.799805
2016-03-10,7486.149902
2016-03-11,7510.200195
2016-03-14,7538.75
2016-03-15,7460.600098
2016-03-16,7498.75
2016-03-17,7512.549805
2016-03-18,7604.350098
2016-03-21,7704.25
2016-03-22,7714.899902
2016-03-23,7716.5
2016-03-28,7615.100098
2016-03-29,7597
2016-03-30,7735.200195
2016-03-31,7738.399902
2016-04-01,7713.049805
2016-04-04,7758.799805
2016-04-05,7603.200195
2016-04-06,7614.350098
2016-04-07,7546.450195
2016-04-08,7555.200195
2016-04-11,7671.399902
2016-04-12,7708.950195
2016-04-13,7850.450195
2016-04-18,7914.700195
2016-04-20,7914.75
2016-04-21,7912.049805
2016-04-22,7899.299805
2016-04-25,7855.049805
2016-04-26,7962.649902
2016-04-27,7979.899902
2016-04-28,7847.25
2016-04-29,7849.799805
2016-05-02,7805.899902
2016-05-03,7747
2016-05-04,7706.549805
2016-05-05,7735.5
2016-05-06,7733.450195
2016-05-09,7866.049805
2016-05-10,7887.799805
2016-05-11,7848.850098
2016-05-12,7900.399902
2016-05-13,7814.899902
2016-05-16,7860.75
2016-05-17,7890.75
2016-05-18,7870.149902
2016-05-19,7783.399902
2016-05-20,7749.700195
2016-05-23,7731.049805
2016-05-24,7748.850098
2016-05-25,7934.899902
2016-05-26,8069.649902
2016-05-27,8156.649902
2016-05-30,8178.5
2016-05-31,8160.100098
2016-06-01,8179.950195
2016-06-02,8218.950195
2016-06-03,8220.799805
2016-06-06,8201.049805
