,number,value,datetime_start,datetime_complete,duration,params_ANTS,params_EVA_RATE,params_ITERATIONS,params_Q,state
35,35,1.8271156839012037,2022-04-14 21:43:54.473263,2022-04-14 21:51:31.801290,0 days 00:07:37.328027000,361,0.12273950428200975,371,0.13925661737932712,COMPLETE
36,36,1.8305269598977607,2022-04-14 21:51:31.802196,2022-04-14 21:57:21.079584,0 days 00:05:49.277388000,409,0.010333775974231074,227,0.03178144295574542,COMPLETE
37,37,1.8108594841507384,2022-04-14 21:57:21.080463,2022-04-14 22:03:52.807780,0 days 00:06:31.727317000,435,0.009226159849980488,228,0.05920430113313015,COMPLETE
38,38,1.7524971854726892,2022-04-14 22:03:52.808648,2022-04-14 22:09:11.674647,0 days 00:05:18.865999000,465,0.08725394978672361,164,0.0005562628418321891,COMPLETE
39,39,1.7757718291981328,2022-04-14 22:09:11.675538,2022-04-14 22:11:41.023426,0 days 00:02:29.347888000,393,0.01226867926697557,104,0.0012097691930540166,COMPLETE
40,40,1.839265344337682,2022-04-14 22:11:41.024310,2022-04-14 22:15:30.153731,0 days 00:03:49.129421000,312,0.2247880502176262,240,0.43550129655070813,COMPLETE
41,41,1.8162581738001091,2022-04-14 22:15:30.154625,2022-04-14 22:19:14.129184,0 days 00:03:43.974559000,336,0.22544992573327266,206,0.4279639038895065,COMPLETE
42,42,1.8740395548010493,2022-04-14 22:19:14.130079,2022-04-14 22:25:26.099585,0 days 00:06:11.969506000,408,0.3248765203580066,243,0.18298686269153658,COMPLETE
43,43,1.826618033017373,2022-04-14 22:25:26.100470,2022-04-14 22:29:52.207555,0 days 00:04:26.107085000,308,0.3103874695143072,285,0.3118792703467137,COMPLETE
44,44,1.775604019955777,2022-04-14 22:29:52.208469,2022-04-14 22:34:51.189369,0 days 00:04:58.980900000,405,0.11190737045208624,198,0.18263744355375794,COMPLETE
45,45,1.7793058832145554,2022-04-14 22:34:51.190241,2022-04-14 22:39:49.595712,0 days 00:04:58.405471000,365,0.18271815106989,238,0.3824048379792756,COMPLETE
46,46,1.788507858647119,2022-04-14 22:39:49.596607,2022-04-14 22:50:27.825111,0 days 00:10:38.228504000,461,0.2532759842517393,334,0.4647571461357584,COMPLETE
47,47,1.7946576565166703,2022-04-14 22:50:27.826003,2022-04-14 22:53:15.661965,0 days 00:02:47.835962000,233,0.3501872869008471,289,0.6028447700523447,COMPLETE
48,48,1.7754539185988896,2022-04-14 22:53:15.662863,2022-04-14 22:59:45.235148,0 days 00:06:29.572285000,413,0.2978795616321714,249,0.27497812658713483,COMPLETE
49,49,1.8277002246645175,2022-04-14 22:59:45.236050,2022-04-14 23:02:16.082653,0 days 00:02:30.846603000,292,0.06525171180217176,177,0.19490144193006662,COMPLETE
