Date,ASIANPAINT,BAJFINANCE,BAJAJFINSV,BRITANNIA,DIVISLAB,GRASIM,HCLTECH,HDFCBANK,HINDALCO,HINDUNILVR,ICICIBANK,INFY,JSWSTEEL,LT,NESTLEIND,POWERGRID,RELIANCE,TCS,TATACONSUM,TATASTEEL,TECHM,TITAN,ULTRACEMCO,WIPRO
2016-01-01,845.4204711914062,601.3765869140625,1978.0638427734373,1374.4283447265625,1103.9776611328123,563.7885131835938,379.69171142578125,526.2291870117189,81.98336791992188,781.8441772460938,227.0727844238281,472.6703796386719,92.11971282958984,766.0191650390625,5280.46923828125,83.27794647216797,484.996337890625,1075.6993408203123,135.2275390625,215.09469604492188,444.8971862792969,340.026611328125,2772.252685546875,202.9756622314453
2016-01-04,847.3926391601562,597.0950317382812,1953.833984375,1368.0771484375,1091.822021484375,547.2538452148439,379.7366943359375,517.4083251953125,77.97593688964844,784.080322265625,220.6405029296875,461.4015502929688,93.7073745727539,746.2625122070312,5175.18212890625,83.24842071533203,475.419189453125,1054.865966796875,132.73358154296878,214.6768798828125,441.77471923828125,339.3988342285156,2698.7744140625,203.43157958984366
2016-01-05,866.4898071289062,591.7085571289062,1940.3729248046875,1365.36181640625,1089.732666015625,547.5305786132811,378.32257080078125,513.4932861328125,79.76239013671875,773.9942016601562,221.6334228515625,459.3273315429688,97.15176391601562,746.8269653320312,5168.42724609375,82.185302734375,480.1242065429688,1045.6728515625,137.02873229980472,229.2170867919922,446.4798583984375,335.82513427734375,2682.969482421875,203.1397857666016
2016-01-06,852.7803344726562,602.5011596679688,1932.944580078125,1381.4698486328125,1079.9512939453123,546.528076171875,377.6942443847656,515.764892578125,77.78280639648438,769.5215454101562,215.93499755859366,457.31732177734375,94.91829681396484,734.9136962890625,5220.5458984375,82.39202117919922,493.0450134277344,1060.207763671875,134.165283203125,224.57925415039062,449.2173461914063,335.97003173828125,2685.17822265625,202.48318481445312
2016-01-07,839.2630615234375,602.4075927734375,1921.4779052734373,1356.08837890625,1070.21728515625,532.2828369140625,370.3548278808594,510.4967041015625,74.01679229736328,748.7101440429688,213.0426177978516,449.3843383789063,92.06141662597656,716.82080078125,5147.0234375,81.56514739990234,483.9932556152344,1055.5999755859377,129.36213684082028,208.827392578125,436.98388671875,332.2998352050781,2618.817138671875,200.56817626953125
2016-01-08,841.4278564453125,622.9472045898438,1994.615478515625,1335.7230224609375,1072.8287353515623,535.051025390625,371.8362121582031,513.4691162109375,74.2582015991211,739.2171630859375,211.5748443603516,454.7300415039063,93.3889389038086,700.5996704101562,5141.18115234375,83.66184997558594,489.964111328125,1067.330322265625,133.42633056640622,211.91925048828125,446.6936950683594,336.11492919921875,2655.6298828125,202.73855590820312
2016-01-11,840.7061767578125,622.12841796875,1937.7806396484373,1343.5469970703125,1044.1492919921877,541.9940795898439,365.64154052734375,511.65667724609375,75.2238540649414,740.9514770507812,206.7398376464844,451.4798278808594,91.46043395996094,697.1831665039062,4992.12744140625,84.60684967041016,502.3116760253906,1051.6383056640623,131.07093811035156,210.2897491455078,433.9897155761719,333.2656555175781,2676.834228515625,196.0450439453125
2016-01-12,839.7923583984375,612.5195922851562,1951.8397216796875,1353.1656494140625,1044.908935546875,531.1529541015625,363.6215515136719,506.0257873535156,73.00285339355469,748.2081298828125,204.40866088867188,449.020751953125,90.84601593017578,700.6293334960938,4965.29345703125,84.3115463256836,499.3740539550781,1035.9241943359377,128.85409545898438,205.3594512939453,434.0751953125,335.0524597167969,2621.12353515625,200.2216339111328
2016-01-13,835.6072998046875,599.600830078125,1981.703125,1337.0577392578125,1029.8568115234377,527.763671875,370.9608154296875,512.40576171875,74.06507110595703,760.1199340820312,206.7830047607422,463.3260498046875,90.02976989746094,687.3197631835938,5021.244140625,84.40013885498047,514.3726806640625,1014.6226196289062,125.25174713134766,206.0697479248047,431.5516052246094,337.9983825683594,2635.161865234375,199.34619140625
2016-01-14,855.6665649414062,599.4085083007812,1943.2647705078125,1333.56005859375,1032.705810546875,523.6039428710939,372.0606384277344,507.3790893554688,72.13377380371094,755.0995483398438,203.5452880859375,484.5378723144531,90.0073471069336,674.188232421875,5126.2119140625,84.37060546875,507.1122131347656,1014.44482421875,123.8200225830078,199.50994873046875,439.721435546875,330.0301208496094,2578.666259765625,198.8902282714844
