Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,324.950012,326.000000,320.049988,320.600006,312.708679,11523
2016-01-04,325.049988,325.049988,307.500000,311.250000,303.588776,783602
2016-01-05,310.600006,327.000000,310.600006,324.100006,316.122528,75667
2016-01-06,324.850006,330.000000,312.549988,313.950012,306.222321,44886
2016-01-07,313.000000,314.149994,307.750000,308.649994,301.052765,26836
2016-01-08,306.000000,315.000000,306.000000,312.149994,304.466583,9400
2016-01-11,312.149994,325.350006,303.000000,318.000000,310.172638,24712
2016-01-12,317.950012,321.250000,306.000000,307.299988,299.735992,10387
2016-01-13,310.100006,316.000000,299.950012,313.500000,305.783386,63588
2016-01-14,314.750000,314.799988,301.000000,309.649994,302.028198,13570
2016-01-15,314.950012,315.149994,301.500000,309.299988,301.686798,29274
2016-01-18,304.049988,309.950012,281.500000,304.049988,296.566040,31487
2016-01-19,300.049988,309.000000,292.000000,304.799988,297.297516,17747
2016-01-20,304.950012,308.000000,291.000000,301.350006,293.932526,951723
2016-01-21,302.049988,314.850006,294.000000,298.549988,291.201385,12981
2016-01-22,304.000000,304.799988,295.049988,302.450012,295.005402,8689
2016-01-25,305.000000,325.950012,303.149994,322.399994,314.464325,34785
2016-01-27,318.700012,325.399994,312.850006,318.750000,310.904144,6321
2016-01-28,317.049988,323.000000,315.049988,316.000000,308.221863,8591
2016-01-29,312.250000,339.000000,307.500000,323.450012,315.488464,90807
2016-02-01,323.000000,324.600006,312.000000,320.250000,312.367218,286191
2016-02-02,320.000000,324.450012,318.149994,321.700012,313.781616,11039
2016-02-03,317.950012,323.000000,315.000000,317.500000,309.684967,14920
2016-02-04,317.549988,320.700012,306.200012,308.100006,300.516357,163781
2016-02-05,311.500000,311.500000,296.600006,305.799988,298.272949,12508
2016-02-08,308.700012,311.000000,300.200012,301.649994,294.225128,7610
2016-02-09,301.250000,307.649994,296.000000,300.450012,293.054657,2914
2016-02-10,305.450012,305.450012,295.250000,299.500000,292.127991,9956
2016-02-11,300.700012,300.850006,284.000000,287.149994,280.082001,7833
2016-02-12,280.049988,293.450012,261.000000,269.799988,263.159027,22846
2016-02-15,299.000000,299.000000,266.049988,272.149994,265.451172,19143
2016-02-16,279.000000,280.049988,261.000000,264.700012,258.184570,7976
2016-02-17,262.450012,273.850006,251.300003,257.299988,250.966721,8691
2016-02-18,267.950012,277.000000,252.300003,260.250000,253.844147,19042
2016-02-19,262.700012,262.750000,256.049988,261.799988,255.356003,3449
2016-02-22,261.000000,268.799988,253.649994,254.949997,248.674591,14052
2016-02-23,253.000000,258.899994,246.000000,252.199997,245.992264,82872
2016-02-24,250.000000,257.000000,245.300003,255.949997,249.649963,11004
2016-02-25,250.000000,259.000000,232.899994,255.050003,248.772125,32517
2016-02-26,254.199997,257.950012,250.000000,254.149994,247.894272,10024
2016-02-29,254.000000,273.500000,248.000000,270.200012,263.549194,12575
2016-03-01,273.200012,285.899994,266.500000,270.500000,263.841827,12772
2016-03-02,270.500000,278.500000,270.000000,273.700012,266.963043,8871
2016-03-03,275.200012,280.000000,272.049988,275.700012,268.913818,9361
2016-03-04,282.000000,282.000000,275.549988,276.950012,270.133087,4383
2016-03-08,274.000000,285.000000,274.000000,282.399994,275.448883,12391
2016-03-09,284.899994,286.000000,276.299988,285.200012,278.180023,6269
2016-03-10,284.450012,287.950012,281.000000,282.700012,275.741547,4535
2016-03-11,279.000000,289.149994,279.000000,282.149994,275.205109,1909
2016-03-14,279.000000,286.899994,277.049988,281.250000,274.327209,1826
2016-03-15,282.200012,284.149994,275.100006,276.100006,269.303986,3911
2016-03-16,275.750000,278.000000,270.000000,272.950012,266.231567,5053
2016-03-17,278.000000,278.600006,273.200012,275.600006,270.202209,6631
