ASIANPAINT,BAJFINANCE,BAJAJFINSV,BRITANNIA,DIVISLAB,GRASIM,HCLTECH,HDFCBANK,HINDALCO,HINDUNILVR,ICICIBANK,INFY,JSWSTEEL,LT,NESTLEIND,POWERGRID,RELIANCE,TCS,TATACONSUM,TATASTEEL,TECHM,TITAN,ULTRACEMCO,WIPRO
845.4204712,601.3765869,1978.063843,1374.428345,1103.977661,563.7885132,379.6917114,526.229187,81.98336792,781.8441772,227.0727844,472.6703796,92.11971283,766.019165,5280.469238,83.27794647,484.9963379,1075.699341,135.2275391,215.094696,444.8971863,340.0266113,2772.252686,202.9756622
847.3926392,597.0950317,1953.833984,1368.077148,1091.822021,547.2538452,379.7366943,517.4083252,77.97593689,784.0803223,220.6405029,461.4015503,93.70737457,746.2625122,5175.182129,83.24842072,475.4191895,1054.865967,132.7335815,214.6768799,441.7747192,339.3988342,2698.774414,203.4315796
866.4898071,591.7085571,1940.372925,1365.361816,1089.732666,547.5305786,378.3225708,513.4932861,79.76239014,773.9942017,221.6334229,459.3273315,97.15176392,746.8269653,5168.427246,82.18530273,480.1242065,1045.672852,137.0287323,229.2170868,446.4798584,335.8251343,2682.969482,203.1397858
852.7803345,602.5011597,1932.94458,1381.469849,1079.951294,546.5280762,377.6942444,515.7648926,77.7828064,769.5215454,215.9349976,457.3173218,94.91829681,734.9136963,5220.545898,82.39202118,493.0450134,1060.207764,134.1652832,224.5792542,449.2173462,335.9700317,2685.178223,202.4831848
839.2630615,602.4075928,1921.477905,1356.088379,1070.217285,532.2828369,370.3548279,510.4967041,74.0167923,748.710144,213.0426178,449.3843384,92.06141663,716.8208008,5147.023438,81.5651474,483.9932556,1055.599976,129.3621368,208.8273926,436.9838867,332.2998352,2618.817139,200.5681763
841.4278564,622.9472046,1994.615479,1335.723022,1072.828735,535.0510254,371.8362122,513.4691162,74.2582016,739.2171631,211.5748444,454.7300415,93.3889389,700.5996704,5141.181152,83.66184998,489.9641113,1067.330322,133.4263306,211.9192505,446.6936951,336.1149292,2655.629883,202.7385559
840.7061768,622.128418,1937.78064,1343.546997,1044.149292,541.9940796,365.6415405,511.6566772,75.22385406,740.9514771,206.7398376,451.4798279,91.46043396,697.1831665,4992.127441,84.60684967,502.311676,1051.638306,131.0709381,210.2897491,433.9897156,333.2656555,2676.834229,196.0450439
839.7923584,612.5195923,1951.839722,1353.165649,1044.908936,531.1529541,363.6215515,506.0257874,73.00285339,748.2081299,204.4086609,449.020752,90.84601593,700.6293335,4965.293457,84.31154633,499.374054,1035.924194,128.8540955,205.3594513,434.0751953,335.0524597,2621.123535,200.2216339
835.6072998,599.6008301,1981.703125,1337.057739,1029.856812,527.7636719,370.9608154,512.4057617,74.06507111,760.1199341,206.7830048,463.3260498,90.0297699,687.3197632,5021.244141,84.40013885,514.3726807,1014.62262,125.2517471,206.0697479,431.5516052,337.9983826,2635.161865,199.3461914
855.6665649,599.4085083,1943.264771,1333.560059,1032.705811,523.6039429,372.0606384,507.3790894,72.1337738,755.0995483,203.5452881,484.5378723,90.00734711,674.1882324,5126.211914,84.37060547,507.1122131,1014.444824,123.8200226,199.5099487,439.7214355,330.0301208,2578.66626,198.8902283
