,Date,Returns,Risk,Ratio
0,2021-01-01,-34.75194140279575,5.960030987519729,-6.431500353448265
1,2021-01-04,-34.36262953503985,5.983173256897549,-6.34155621204829
2,2021-01-05,-34.33558916065303,5.985201347677185,-6.33488949797283
3,2021-01-06,-34.84505779602037,5.966823771990502,-6.439784257814936
4,2021-01-07,-35.3510897547088,6.000998345984184,-6.487435508253582
5,2021-01-08,-34.928541076159284,5.983329337552382,-6.4359721659433315
6,2021-01-11,-34.91511326202363,5.98458761550683,-6.432375250431271
7,2021-01-12,-35.27130540992785,5.996867943592676,-6.478599458145203
8,2021-01-13,-35.877949316870186,5.9866194173333565,-6.59102350863087
9,2021-01-14,-34.51352441726036,5.755129874320552,-6.6190555641904885
10,2021-01-15,-33.99794738617085,5.752017141865596,-6.533003372445254
11,2021-01-18,-34.60139372246102,5.8214657972812915,-6.558725079221848
12,2021-01-19,-34.785217417175986,5.830240799633599,-6.5803829954308295
13,2021-01-20,-33.558410219582264,5.802793915819913,-6.400091190268429
14,2021-01-21,-33.15224418155357,5.826056737743064,-6.304820882294247
15,2021-01-22,-33.17486633134011,5.824659145514666,-6.310217544599763
16,2021-01-25,-33.12572106646168,5.811670474647779,-6.315864126602301
17,2021-01-27,-35.33973476292856,6.12953072661592,-6.349545584938428
18,2021-01-28,-36.149207762520355,6.2459124252507365,-6.360833303058273
19,2021-01-29,-37.037538698128046,6.251890250032364,-6.496841286988008
20,2021-02-01,-38.59381834207071,6.352595559955675,-6.638832575446529
21,2021-02-02,-34.685166765905095,5.260741273743692,-7.273721472843792
22,2021-02-03,-33.98924585852478,5.261808121516985,-7.139987812344159
23,2021-02-04,-33.96514773299179,5.263972672135779,-7.132473907346179
24,2021-02-05,-34.39755393296689,5.235291592491084,-7.25414301419956
25,2021-02-08,-34.558194786511365,5.225654777687632,-7.298261444547171
26,2021-02-09,-34.83776822107283,5.202257022122764,-7.3848270198300545
27,2021-02-10,-33.71300288795904,5.095904018491503,-7.318231024884682
28,2021-02-11,-32.23516959235648,4.99595649855605,-7.168831354457932
29,2021-02-12,-31.82604308921335,5.017918642684481,-7.055922108428578
30,2021-02-15,-32.429360618581114,5.00195669045503,-7.199054859330525
31,2021-02-16,-32.91837289449272,4.9737079279515335,-7.338262202606839
32,2021-02-17,-32.914623339884656,4.97388356282657,-7.337249229683497
33,2021-02-18,-33.330295934437764,4.977209868035422,-7.415860876488778
34,2021-02-19,-33.25689252382476,4.975612058796021,-7.403489678963919
35,2021-02-22,-32.70015111602611,4.913187459721398,-7.384239134666233
36,2021-02-23,-34.70906792826827,5.114292297907823,-7.486679622111494
37,2021-02-24,-34.96723483939774,5.09416891394858,-7.566932995458742
38,2021-02-25,-33.87632959618382,5.041971887608317,-7.4289048870424015
39,2021-02-26,-34.05772830232115,5.025555793349923,-7.4892668293774305
40,2021-03-01,-36.2486269578063,5.538281573743607,-7.191513545759303
41,2021-03-02,-36.07388574925871,5.554638639726528,-7.138877669855224
42,2021-03-03,-36.02564922928242,5.559665088587059,-7.123747311791376
43,2021-03-04,-35.87117694628885,5.574271578783428,-7.077369013818121
44,2021-03-05,-36.25599744763821,5.569703042080857,-7.1522659550544665
45,2021-03-08,-37.061614189660915,5.552647140035296,-7.319322327656962
46,2021-03-09,-36.86948153716632,5.563216419631405,-7.270880455850813
47,2021-03-10,-37.04477606824844,5.548050047943734,-7.322352126817086
48,2021-03-12,-36.46341289970107,5.562614568979261,-7.198667533610733
49,2021-03-15,-37.04436936025793,5.59187385576877,-7.264893738321445
50,2021-03-16,-37.858015685519035,5.636532421852614,-7.351685856514456
51,2021-03-17,-37.57105953750401,5.643112041194025,-7.2922634243492475
52,2021-03-18,-38.77008554629895,5.648104559879127,-7.498105797674055
53,2021-03-19,-40.46685287495041,5.789112535128414,-7.608567393995799
54,2021-03-22,-40.375318574294276,5.799009803512114,-7.579797252226262
55,2021-03-23,-37.966454789792785,5.369689433093831,-7.7372174512996255
56,2021-03-24,-37.98216194266083,5.3680238996057605,-7.742544131689362
57,2021-03-25,-39.037548717658616,5.381762771429781,-7.9188828136206295
58,2021-03-26,-40.87618041915356,5.529313653983497,-8.040090181378279
59,2021-03-30,-40.89802994665179,5.526715702973645,-8.04782303578967
60,2021-03-31,-40.576804668183875,5.556762260193561,-7.946498806419288
61,2021-04-01,-41.10889083873307,5.532973503707552,-8.076830805133586
62,2021-04-05,-40.753026044973986,5.559895686854488,-7.973715433149682
63,2021-04-06,-41.617241343501135,5.526551339771904,-8.178199851006278
64,2021-04-07,-41.672564760417806,5.520969705851865,-8.196488510424729
65,2021-04-08,-41.221249386507125,5.545493193934094,-8.078857519023323
66,2021-04-09,-40.05417105567372,5.554397434581856,-7.855788421621756
67,2021-04-12,-40.10882441811633,5.554108280750428,-7.866037572500016
68,2021-04-13,-42.46218808670163,5.794561285099387,-7.94575910433432
69,2021-04-15,-42.49719314135238,5.796313748951961,-7.949395967339355
70,2021-04-16,-41.946110174753116,5.813795775174964,-7.830703370963013
71,2021-04-19,-41.464092976416985,5.822014453169333,-7.736856948525147
72,2021-04-20,-42.44398938417027,5.847551716481593,-7.87064255531927
73,2021-04-22,-41.31408819758746,5.797724672655296,-7.743397752109269
74,2021-04-23,-40.974680597852064,5.792696608168084,-7.691526695015759
75,2021-04-26,-41.24567783252963,5.769386247467202,-7.769574771009376
76,2021-04-27,-41.41409707241663,5.75199379139411,-7.8223479899673904
77,2021-04-28,-41.213707863593974,5.772607298768225,-7.759701213895527
78,2021-04-29,-39.50509141890358,5.629380656184453,-7.653611302971701
