,ADANIPORTS,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BAJAJFINSV,BPCL,BHARTIARTL,BRITANNIA,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GAIL,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,HDFC,ICICIBANK,ITC,IOC,INDUSINDBK,INFY,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NTPC,NESTLEIND,ONGC,POWERGRID,RELIANCE,SBILIFE,SHREECEM,SBIN,SUNPHARMA,TCS,TATAMOTORS,TATASTEEL,TECHM,TITAN,UPL,ULTRACEMCO,WIPRO
0,261.11203,850.608887,440.847687,2209.871338,602.348328,1978.543457,217.338654,302.993469,1374.428223,642.229675,214.452744,1108.503052,2970.827637,1560.053467,87.10215,565.293457,385.106506,528.506653,341.851837,2270.137939,82.550529,792.340698,1169.114624,227.737686,191.328369,75.797623,943.823242,482.005096,93.92794,725.56427,774.689575,605.469421,4380.021484,96.035271,5311.719238,129.333496,114.661705,486.556549,701.143982,11121.029297,222.831543,787.28717,1082.013306,401.737305,219.908173,461.389832,340.842285,279.519226,2785.78125,202.975677
1,251.743073,852.593201,429.579071,2179.461182,598.059875,1954.307739,216.222977,290.802551,1368.077148,632.723877,211.98111,1096.297607,2920.559082,1571.230225,84.758209,548.714661,385.1521,519.647644,352.516144,2229.359131,78.515373,794.607056,1130.328369,221.28656,189.926285,74.607964,914.789307,470.513763,95.546753,703.665161,754.709412,594.535767,4325.394531,95.23774,5205.810547,126.960152,114.621048,476.948639,697.279297,10804.255859,215.886398,771.407227,1061.057739,376.897339,219.481003,458.151581,340.212952,275.393219,2711.943848,203.431641
2,249.547195,871.807617,427.668335,2196.13623,592.664673,1940.843384,218.939453,287.821564,1365.361816,628.019958,209.156387,1094.199951,2934.559326,1541.108521,87.691071,548.992126,383.717926,515.715759,382.227234,2211.652832,80.314178,784.385376,1123.546631,222.282349,189.780228,77.442169,915.817505,468.39856,99.058762,706.109497,755.280273,597.741638,4312.458008,94.539917,5199.016113,128.986862,113.15728,481.668732,688.261719,10867.756836,213.000748,772.758789,1051.810791,374.298431,234.346603,463.031219,336.630768,276.313599,2696.061768,203.139801
3,245.741058,858.013977,422.034027,2181.3479,603.474854,1933.41333,221.280106,286.709259,1381.469727,639.044739,210.504547,1084.378296,2911.240967,1573.902222,87.797073,547.987,383.080475,517.997192,392.048309,2178.987305,78.320908,779.852783,1123.453613,216.567245,184.084198,78.876778,924.336731,466.348938,96.781441,701.969116,743.232117,586.71228,4231.108887,94.008224,5251.443359,126.693481,113.441902,494.631134,690.441772,11188.242188,212.120361,764.505066,1066.431152,365.751862,229.60498,465.870178,336.776001,281.423492,2698.281494,202.4832
4,239.10466,844.413879,401.015594,2123.205322,603.380981,1921.943726,214.476547,286.842743,1356.088257,624.68811,209.541565,1074.60437,2859.20459,1529.949707,87.302383,533.703674,375.636505,512.706055,371.860596,2129.883545,74.528839,758.761841,1095.722656,213.666412,180.871017,77.249725,906.269958,458.259216,93.868484,690.046875,724.934448,572.979248,4030.072998,91.615646,5177.484863,120.853477,112.303421,485.550232,692.324585,10725.758789,204.979584,756.637512,1061.796509,343.410919,213.500595,453.183197,333.096954,264.951294,2631.596191,200.568176
5,235.591293,846.591736,405.376099,2085.115967,623.953796,1995.099365,219.157791,288.17749,1335.723022,609.890381,206.139114,1077.226563,2877.266602,1548.427734,87.914848,536.479309,377.138977,515.691406,367.743744,2104.148438,74.771919,749.141541,1091.031128,212.194366,183.237091,78.168221,927.372314,463.71051,95.222069,693.488831,708.529663,573.242493,3979.88501,92.745483,5171.607422,122.746826,115.190277,491.540253,693.662415,10895.698242,204.392654,766.628723,1073.594971,353.20697,216.661682,463.253021,336.921265,270.061127,2668.588867,202.738541
6,228.418152,845.865845,408.805664,2071.644531,623.133606,1938.250488,215.398193,285.774902,1343.546997,597.83667,202.832947,1048.429321,2801.576416,1548.221313,86.996132,543.440918,370.855927,513.871094,377.316772,2117.502441,75.744255,750.898987,1079.093262,207.345184,184.639175,77.485909,917.286316,460.396057,93.255707,699.225525,705.074524,556.30365,4034.321777,94.107918,5021.671387,120.266815,116.491409,503.927612,683.65387,10660.401367,199.844101,755.141235,1057.811157,360.054199,214.995697,450.078003,334.065155,269.712067,2689.896729,196.045029
7,231.541153,844.946289,397.928986,2057.471191,613.509338,1952.312988,215.907608,280.658264,1353.166016,599.208618,202.865005,1049.192261,2793.692383,1532.747314,86.183403,532.570923,368.807098,508.215881,379.152008,2085.174805,73.507889,758.253113,1070.081787,205.007217,184.113403,76.978546,894.274536,457.888458,92.629219,690.396057,708.559692,565.538696,4031.111084,96.500488,4994.677734,118.053474,116.084808,500.980499,681.473755,10351.736328,195.050964,760.836731,1042.004639,354.856293,209.955093,450.166718,335.856262,269.712067,2633.914551,200.221649
8,224.660797,840.735413,398.516937,2079.71875,600.569763,1982.183594,217.302277,274.607361,1337.057739,596.464722,203.69957,1034.078369,2762.82373,1532.379028,85.488464,529.172668,376.251221,514.623535,374.787048,2090.667969,74.577446,770.324768,1084.760498,207.388474,184.463913,76.838593,916.943604,472.476166,91.796951,687.552734,695.099426,576.615906,4052.121582,95.869125,5050.963867,119.040154,116.206795,516.027405,683.455627,10297.079102,196.51825,768.993835,1020.578369,364.452393,210.681259,447.5495,338.809174,260.952301,2648.02124,199.346191
9,222.318558,860.917847,382.740845,2073.355469,600.376953,1943.735718,220.576706,274.740784,1333.559937,602.001587,204.566254,1036.939087,2785.808105,1525.670288,84.22818,525.001709,377.366608,509.575073,368.537323,2060.115967,72.632797,765.237122,1077.003052,204.141281,185.34024,76.173775,897.946716,494.107025,91.774086,682.514343,681.819397,568.720703,4011.517822,95.17128,5156.550781,119.066818,116.166138,508.743591,664.033081,9957.69043,191.774017,764.408508,1020.399109,354.156555,203.97467,456.022278,330.821869,252.985992,2591.249756,198.890228
