Date,ADANIPORTS,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BAJAJFINSV,BPCL,BHARTIARTL,BRITANNIA,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HEROMOTOCO,HINDALCO,HINDUNILVR,HDFC,ICICIBANK,ITC,IOC,INDUSINDBK,INFY,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NTPC,NESTLEIND,ONGC,POWERGRID,RELIANCE,SHREECEM,SBIN,SUNPHARMA,TCS,TATACONSUM,TATAMOTORS,TATASTEEL,TECHM,TITAN,UPL,ULTRACEMCO,WIPRO
2016-01-01,259.29550170898443,845.42041015625,440.8476867675781,2136.001953125,601.3765869140625,1978.063720703125,199.4730529785156,303.1690368652344,1374.4281005859375,638.7059326171875,197.458984375,1103.977783203125,2943.7021484375,1550.4000244140625,563.7884521484375,379.69171142578125,526.2291870117189,2262.1416015625,81.9833755493164,781.843994140625,1158.53369140625,227.0727844238281,186.1512451171875,72.03886413574219,939.1920776367188,472.6704406738281,92.11972045898438,725.2042846679688,766.0191040039062,598.7304077148438,4352.271484375,91.04597473144531,5280.46923828125,122.79981231689452,83.27794647216797,484.9963684082031,11097.267578125,220.7930603027344,785.218505859375,1077.5902099609377,135.22755432128906,401.7373046875,215.0947113037109,444.8971557617188,340.026611328125,276.15939331054693,2772.25244140625,202.97564697265625
2016-01-04,249.99169921875,847.3925170898438,429.5790710449219,2106.60888671875,597.0950317382812,1953.8341064453125,198.448974609375,290.9710693359375,1368.0772705078125,629.25244140625,195.1832275390625,1091.8218994140623,2893.89208984375,1561.5076904296875,547.2537841796875,379.7366638183594,517.4083251953125,2221.50634765625,77.97593688964844,784.0803833007812,1120.098388671875,220.64048767089844,184.7870941162109,70.90818786621094,910.3006591796876,461.4015808105469,93.70738220214844,703.31591796875,746.2625732421875,587.91845703125,4297.9912109375,90.28987884521484,5175.1806640625,120.5463638305664,83.24842071533203,475.4192199707031,10781.1728515625,213.9114532470703,769.3802490234375,1056.719482421875,132.73358154296878,376.8973388671875,214.6768951416016,441.77471923828125,339.3987731933594,272.0830078125,2698.7744140625,203.43161010742188
2016-01-05,247.81109619140625,866.4898681640625,427.6683349609375,2122.72607421875,591.7085571289062,1940.3731689453125,200.9422607421875,287.98834228515625,1365.36181640625,624.5742797851562,192.58233642578125,1089.73291015625,2907.764892578125,1531.5723876953125,547.5305786132811,378.3226318359375,513.4932861328125,2203.862548828125,79.76237487792969,773.994140625,1113.378173828125,221.63340759277344,184.6449737548828,73.60184478759766,911.32373046875,459.3273010253906,97.15177154541016,705.7590942382812,746.8270263671875,591.0886840820312,4285.13671875,89.62830352783203,5168.42822265625,122.47063446044922,82.185302734375,480.1242065429688,10844.537109375,211.05218505859372,770.7282104492188,1047.5106201171877,137.02871704101562,374.2984313964844,229.2170867919922,446.4798583984375,335.8251647949219,272.99234008789057,2682.969482421875,203.13980102539062
2016-01-06,244.0314178466797,852.7802734375,422.0340270996094,2108.4326171875,602.5012817382812,1932.9447021484373,203.09048461914062,286.8753662109375,1381.469970703125,635.5384521484375,193.82366943359372,1079.951171875,2884.65966796875,1564.1632080078125,546.5279541015625,377.6942138671875,515.7649536132811,2171.312255859375,77.78280639648438,769.521484375,1113.2862548828123,215.9349822998047,179.10308837890625,74.96531677246094,919.8012084960938,457.31732177734375,94.91830444335938,701.6206665039062,734.9136352539062,580.18212890625,4204.302734375,89.1242446899414,5220.54638671875,120.29318237304688,82.39202117919922,493.04498291015625,11164.337890625,210.1798858642578,762.496337890625,1062.0711669921877,134.165283203125,365.7518615722656,224.57925415039062,449.2174377441406,335.97003173828125,278.040771484375,2685.17822265625,202.48318481445312
2016-01-07,237.4412078857422,839.2631225585938,401.0155944824219,2052.2333984375,602.4075927734375,1921.4779052734373,196.8461761474609,287.0089416503906,1356.08837890625,621.2606201171875,192.9369659423828,1070.21728515625,2833.097412109375,1520.482666015625,532.2827758789061,370.3548278808594,510.4967041015625,2122.381591796875,74.01677703857422,748.7101440429688,1085.80615234375,213.0426483154297,175.9768829345703,73.4189453125,901.8231201171876,449.38427734375,92.0614242553711,689.7044677734375,716.8208618164062,566.6018676757812,4004.540283203125,86.85597229003906,5147.02294921875,114.74816131591795,81.56513977050781,483.9933166503906,10702.8447265625,203.1044158935547,754.6493530273438,1057.455078125,129.36213684082028,343.4109191894531,208.82737731933597,436.9839172363281,332.2998046875,261.76663208007807,2618.816650390625,200.5681610107422
2016-01-08,233.9522857666016,841.4277954101562,405.3760986328125,2015.4171142578125,622.9472045898438,1994.61572265625,201.1426239013672,288.3444519042969,1335.7232666015625,606.5440673828125,189.8041076660156,1072.828857421875,2850.994873046875,1538.8465576171875,535.051025390625,371.8362121582031,513.4691162109375,2096.73681640625,74.25819396972656,739.217041015625,1081.156982421875,211.57485961914062,178.27891540527344,74.29190826416016,922.8218383789062,454.7300720214844,93.38894653320312,693.1446533203125,700.5996704101562,566.8622436523438,3954.670166015625,87.92708587646484,5141.18212890625,116.54586791992188,83.66185760498047,489.9640808105469,10872.41796875,202.5228729248047,764.614501953125,1069.2060546875,133.42633056640622,353.20697021484375,211.91925048828125,446.6937255859375,336.11492919921875,266.8150634765625,2655.629638671875,202.7385406494141
2016-01-11,226.82904052734372,840.706298828125,408.8056640625,2002.39599609375,622.1283569335938,1937.7806396484373,197.69210815429688,285.9404602050781,1343.547119140625,594.5564575195312,186.75994873046875,1044.149169921875,2775.99609375,1538.64111328125,541.9940795898439,365.6415100097656,511.6566162109375,2110.043212890625,75.22384643554688,740.9515380859375,1069.327392578125,206.7398376464844,179.64305114746094,73.64341735839844,912.785400390625,451.479736328125,91.46044158935548,698.8784790039062,697.18310546875,550.1118774414061,4008.76220703125,89.2187728881836,4992.12744140625,114.19116973876952,84.60685729980469,502.3116760253906,10637.623046875,198.01589965820312,753.156982421875,1053.4862060546877,131.07093811035156,360.05419921875,210.28976440429688,433.98968505859375,333.2656555175781,266.47012329101557,2676.833984375,196.04502868652344
2016-01-12,229.93032836914062,839.7922973632812,397.9289855957031,1988.6962890625,612.51953125,1951.8397216796875,198.1596221923828,280.82086181640625,1353.165771484375,595.9209594726562,186.78948974609372,1044.9091796875,2768.184326171875,1523.262939453125,531.1530151367189,363.62158203125,506.0257873535156,2077.830078125,73.00286102294922,748.2081298828125,1060.397216796875,204.4086761474609,179.1315155029297,73.1612319946289,889.8865966796875,449.020751953125,90.84602355957031,690.053466796875,700.6293334960938,559.2440795898439,4005.572998046875,91.48703002929688,4965.2919921875,112.0896453857422,84.31155395507812,499.37408447265625,10329.6220703125,193.26661682128903,758.8375854492188,1037.744140625,128.85411071777344,354.8562927246094,205.3594512939453,434.0752258300781,335.052490234375,266.47012329101557,2621.123779296875,200.2216339111328
2016-01-13,223.0978240966797,835.607177734375,398.5169372558594,2010.2005615234373,599.600830078125,1981.7030029296875,199.43963623046875,274.76638793945307,1337.057861328125,593.192138671875,187.55795288085938,1029.856689453125,2737.59716796875,1522.89697265625,527.7637939453125,370.9609375,512.4058227539061,2083.30419921875,74.06507110595703,760.1199340820312,1074.9427490234377,206.78302001953125,179.47254943847656,73.0281982421875,912.4443359375,463.3259582519531,90.02976989746094,687.21142578125,687.3197631835938,570.1980590820312,4026.449951171875,90.88845825195312,5021.24365234375,113.02645111083984,84.40013122558594,514.372802734375,10275.0771484375,194.72048950195312,766.9732055664062,1016.40576171875,125.25173950195312,364.452392578125,206.0697479248047,431.5515441894531,337.9982604980469,257.81570434570307,2635.162109375,199.3461761474609
2016-01-14,220.77186584472656,855.6664428710938,382.7408447265625,2004.050048828125,599.408447265625,1943.2646484375,202.4449157714844,274.89996337890625,1333.5601806640625,598.6986083984375,188.3559417724609,1032.705810546875,2760.37158203125,1516.2298583984375,523.6038818359375,372.0606384277344,507.379150390625,2052.859375,72.13377380371094,755.099609375,1067.2559814453123,203.5452880859375,180.3251495361328,72.39635467529297,893.5406494140625,484.537841796875,90.0073471069336,682.175537109375,674.188232421875,562.3906860351561,3986.102783203125,90.22686767578124,5126.21240234375,113.0517807006836,84.37061309814453,507.1121826171875,9936.4150390625,190.0196533203125,762.39990234375,1016.2273559570312,123.8200225830078,354.15655517578125,199.50994873046875,439.7214660644531,330.03009033203125,249.9450836181641,2578.66650390625,198.89024353027344
