,Returns,Standard Deviation,Sharpe Ratio,ASIANPAINT Weight,BAJFINANCE Weight,BAJAJFINSV Weight,BRITANNIA Weight,DIVISLAB Weight,GRASIM Weight,HCLTECH Weight,HDFCBANK Weight,HINDALCO Weight,HINDUNILVR Weight,ICICIBANK Weight,INFY Weight,JSWSTEEL Weight,LT Weight,NESTLEIND Weight,POWERGRID Weight,RELIANCE Weight,TCS Weight,TATACONSUM Weight,TATASTEEL Weight,TECHM Weight,TITAN Weight,ULTRACEMCO Weight,WIPRO Weight
167,28.166666666666668,19.595917942265427,1.254683079358939,12.879850660812062,18.925795742935826,0.6310280793034437,14.586103124292924,1.271817740922613,1.0355032373816395,0.159320576349511,1.7644251513934603,10.740739187922335,1.3690324429912744,0.22417979534300733,2.054915956648015,3.177302909749951,0.24288578595230473,6.236559750835518,0.26960120138602306,20.67133555251066,0.14194241070948746,0.2294044234219434,1.6586105450714226,0.014780829880489378,1.5647379418427805,0.0630035747928554,0.08712337755045017
169,29.166666666666668,20.412414523193153,1.253485551040245,10.471517842320493,23.29540796555707,0.9717690352496055,11.385535719420593,0.9791310761512344,0.8080336928433798,0.15207273439186483,1.5407870976131974,10.462379124571235,1.357800783541116,0.13674537816093715,4.393926983898202,4.305710239741849,0.30395619302810484,5.775455610630085,0.15932088409416903,20.30499347597921,0.1317883134168196,0.1923621317544896,1.6873523397298258,0.009050920865074195,1.0621170024352293,0.04720023992751692,0.06558521467871857
170,29.166666666666668,20.412414523193153,1.253485551040245,8.638585694770674,18.9707936449771,0.2914261530892251,7.931099777101654,0.8254782958818336,0.765315227772109,0.13947929773208884,1.2883865835407653,7.914775180617416,1.4296232953381889,0.10848508322313562,2.9988717703239853,3.923364405367248,0.22662114785121293,5.028419644719796,0.13043684424147245,36.880342161116616,0.12055039212141416,0.21944128549977843,1.2265898709033263,0.006906495760132704,0.8521773288901601,0.037623248100070644,0.04520717106063954
171,29.166666666666668,20.412414523193153,1.253485551040245,9.018624108373087,24.284835220474196,1.4508188535562172,9.50390653696813,0.9644843238497585,0.9715999129867523,0.1479861072515162,1.4843414185489485,9.701290991706626,1.9252260888396453,0.1087594466035353,7.042405553576921,4.232143397575281,0.34953436903541285,5.560637132754116,0.13116094066863304,20.082836369138896,0.11916691686372367,0.25039600186635935,1.594514044543131,0.007454682193761135,0.9652860711858033,0.042289123838102564,0.060302387601440244
172,29.166666666666668,20.412414523193153,1.253485551040245,8.689702033715223,24.109904995943452,1.60947756774238,9.095774594461762,0.9839865842778859,1.054807222406594,0.14610246233408594,1.4948149153912156,9.54917940911215,2.123037594749339,0.10384096842209253,7.849316435602506,4.12454673123019,0.3564569120565035,5.474366763094588,0.1274095314517093,20.06978616581298,0.11737002575133812,0.2763348019109652,1.5743054372599385,0.007216950068145931,0.9614144475045797,0.04192795457265381,0.058919495127718956
204,28.999999999999996,20.412414523193153,1.2453205852309674,8.423849086176881,23.968516748123918,1.737714284183227,8.765899866495483,0.9997493859197985,1.12205995541033,0.14457999670469535,1.503280172730502,9.426234445234229,2.2829197551601066,0.09986558329994864,8.501506279079587,4.0375811758691045,0.36205209282548123,5.404638296000784,0.12437743578352083,20.059238272292088,0.11591767932816169,0.2972999695867414,1.557971727163194,0.0070248018628754376,0.9582851878813609,0.041636037668384994,0.057801765219655465
178,28.999999999999996,20.412414523193153,1.2453205852309674,8.426476702266813,23.969914189974148,1.736446828386477,8.76916025593593,0.999593590802233,1.1213952482292777,0.14459504432865888,1.5031965044973812,9.427449598830423,2.281339524656443,0.0999048748933176,8.495060217291364,4.038440719066394,0.3619967916255103,5.405327472644329,0.12440740416806463,20.059342524718033,0.11593203391352558,0.2970927557400521,1.558133164980061,0.0070267010019314236,0.9583161166072279,0.04163892289332486,0.05781281254908256
183,28.999999999999996,20.412414523193153,1.2453205852309674,8.423899779789505,23.968543708445893,1.7376898316334692,8.765962767967249,0.9997463802229729,1.122047131463759,0.1445802870128659,1.5032785585506305,9.426257888737222,2.2828892683651283,0.09986634133793645,8.501381917624913,4.037597758713926,0.36205102592015204,5.404651592027522,0.12437801395233426,20.05924028359506,0.11591795626579825,0.2972959718876423,1.5579748417225014,0.0070248385022536105,0.9582857845776789,0.04163609333194861,0.057801978351642504
182,28.999999999999996,20.412414523193153,1.2453205852309674,8.4239619292778,23.96857676133221,1.7376598532323213,8.766039884078747,0.9997426952908882,1.1220314095280743,0.14458064292563907,1.5032765795941554,9.426286630064576,2.2828518920841834,0.09986727067933894,8.501229452642225,4.03761808899356,0.3620497179127557,5.404667892725293,0.12437872277725416,20.059242749417578,0.11591829578652903,0.2972910707780057,1.557978660118099,0.00702488342149466,0.9582865161169984,0.0416361615745105,0.05780223964775558
181,28.999999999999996,20.412414523193153,1.2453205852309674,8.424098931114731,23.968649622851522,1.737593769083633,8.766209878220648,0.9997345722559543,1.1219967522182892,0.14458142749692113,1.503272217198266,9.426349987217652,2.2827695001081993,0.09986931931212364,8.500893360048888,4.037662904900039,0.36204683455167047,5.404703825853613,0.12438028530526121,20.059248185057093,0.1159190442233234,0.297280266810964,1.5579870773589375,0.007024982441111816,0.9582881287164469,0.04163631200787032,0.05780281564682579
