,number,value,datetime_start,datetime_complete,duration,params_ANTS,params_EVA_RATE,params_ITERATIONS,params_Q,state
0,0,0.2101393503539588,2022-05-26 20:31:22.478274,2022-05-26 20:31:22.564825,0 days 00:00:00.086551000,5,0.8783370053494871,5,0.20290699137082274,COMPLETE
1,1,0.21771501245727906,2022-05-26 20:31:22.564825,2022-05-26 20:31:22.622962,0 days 00:00:00.058137000,3,0.2759758143121222,2,0.6683737989430479,COMPLETE
