,Returns,Semi Deviation,Sortino Ratio,ADANIPORTS Weight,ASIANPAINT Weight,BAJFINANCE Weight,BAJAJFINSV Weight,BRITANNIA Weight,DIVISLAB Weight,GRASIM Weight,HCLTECH Weight,HDFCBANK Weight,HINDALCO Weight,HINDUNILVR Weight,ICICIBANK Weight,INFY Weight,JSWSTEEL Weight,KOTAKBANK Weight,LT Weight,NESTLEIND Weight,POWERGRID Weight,RELIANCE Weight,TCS Weight,TATACONSUM Weight,TATASTEEL Weight,TECHM Weight,TITAN Weight,ULTRACEMCO Weight,WIPRO Weight
99,27.0,10.73312629199899,2.182029668043545,1.1273145506923612,5.357647370397,0.27841039021952835,1.5680875314829201,0.1446111782030972,7.442338031411282,0.01641564423153825,0.1643250296855673,2.144817742478145,0.4667751739556805,8.918121644983005,4.752769323341266,0.9941205563859407,1.6373929921845787,5.427591485871316,6.844556187241372,32.64990637641816,0.04637633839628313,3.337237213157329,0.12624618342054414,10.313634558029394,0.2525236845396722,3.2974571025909913,1.0539703524936577,0.1959483285633553,1.4414050296260095
100,27.0,10.73312629199899,2.182029668043545,1.1273145481216547,5.357647334714952,0.2784103897120899,1.5680875351727723,0.14461117705778176,7.44233802394207,0.016415644193392503,0.16432502931173315,2.1448177362699266,0.4667751756483321,8.91812161289415,4.752769308742204,0.9941205574962338,1.6373929916382872,5.427591483142669,6.844556201507807,32.649906531002856,0.04637633829873758,3.3372372046781478,0.12624618327070766,10.313634518251494,0.25252368399113206,3.2974570839004196,1.0539703528320123,0.19594832781612403,1.4414050263923146
101,27.0,10.73312629199899,2.182029668043545,1.127314546521319,5.357647312501896,0.27841038939619556,1.568087537469807,0.14461117634479143,7.442338019292278,0.016415644169645728,0.16432502907901111,2.14481773240514,0.46677517670205404,8.918121592917956,4.752769299653886,0.9941205581874217,1.6373929912982057,5.42759148144401,6.844556210389054,32.64990662723607,0.04637633823801279,3.3372371993996244,0.1262461831774303,10.313634493488657,0.2525236836496507,3.2974570722650247,1.0539703530426472,0.19594832735095202,1.4414050243792509
102,27.0,10.73312629199899,2.182029668043545,1.1273145455294629,5.357647298734684,0.2784103892004105,1.5680875388934632,0.14461117590289416,7.4423380164104325,0.016415644154927946,0.16432502893477466,2.144817730009822,0.46677517735513013,8.918121580537107,4.752769294021128,0.9941205586158063,1.63739299108743,5.427591480391216,6.844556215893477,32.64990668687952,0.046376338200376774,3.3372371961281004,0.1262461831196189,10.313634478141143,0.2525236834380074,3.2974570650536377,1.0539703531731945,0.19594832706264761,1.4414050231315938
103,27.0,10.73312629199899,2.182029668043545,1.1273145449174549,5.357647290239861,0.2784103890796047,1.5680875397719063,0.14461117563022896,7.442338014632237,0.016415644145846592,0.16432502884577593,2.144817728531832,0.4667751777580996,8.918121572897714,4.75276929054553,0.9941205588801337,1.6373929909573746,5.427591479741607,6.844556219289887,32.6499067236815,0.04637633817715411,3.3372371941094623,0.12624618308394736,10.313634468671221,0.2525236833074164,3.297457060603974,1.0539703532537466,0.19594832688475428,1.441405022361748
104,27.0,10.73312629199899,2.182029668043545,1.127314544541507,5.357647285021611,0.2784103890053954,1.568087540311521,0.1446111754627346,7.442338013539916,0.01641564414026804,0.16432502879110533,2.144817727623924,0.466775178005638,8.918121568204944,4.752769288410519,0.9941205590425063,1.6373929908774831,5.427591479342561,6.8445562213762505,32.64990674628842,0.04637633816288875,3.3372371928694418,0.12624618306203483,10.313634462853981,0.2525236832271963,3.2974570578706093,1.0539703533032285,0.195948326775477,1.441405021888843
105,27.0,10.73312629199899,2.182029668043545,1.1273145443116004,5.357647281830451,0.27841038896001347,1.5680875406415167,0.14461117536030538,7.44233801287192,0.016415644136856544,0.1643250287576721,2.1448177270687023,0.4667751781570172,8.918121565335134,4.7527692871048774,0.9941205591418032,1.637392990828626,5.4275914790985285,6.844556222652145,32.64990676011342,0.046376338154164934,3.337237192111121,0.12624618304863444,10.313634459296514,0.25252368317813856,3.2974570561990513,1.0539703533334883,0.19594832670864967,1.4414050215996435
106,27.0,10.73312629199899,2.182029668043545,1.1273145441716352,5.3576472798877,0.2784103889323854,1.5680875408424146,0.14461117529794737,7.44233801246525,0.016415644134779653,0.16432502873731827,2.1448177267306887,0.46677517824917547,8.918121563588018,4.752769286310015,0.9941205592022544,1.6373929907988825,5.427591478949964,6.844556223428895,32.64990676852996,0.04637633814885395,3.3372371916494616,0.1262461830404764,10.31363445713076,0.25252368314827267,3.297457055181421,1.0539703533519102,0.19594832666796577,1.441405021423581
107,27.0,10.73312629199899,2.182029668043545,1.1273145440868102,5.357647278710308,0.2784103889156416,1.568087540964168,0.14461117526015568,7.442338012218791,0.01641564413352097,0.16432502872498297,2.1448177265258375,0.4667751783050276,8.918121562529192,4.752769285828292,0.9941205592388905,1.637392990780857,5.427591478859927,6.844556223899642,32.64990677363075,0.04637633814563527,3.337237191369676,0.1262461830355323,10.31363445581822,0.25252368313017265,3.2974570545646933,1.053970353363075,0.19594832664330963,1.4414050213168794
108,27.0,10.73312629199899,2.182029668043545,1.1273145440356358,5.357647277999992,0.2784103889055401,1.5680875410376212,0.14461117523735606,7.442338012070103,0.01641564413276161,0.16432502871754115,2.1448177264022523,0.46677517833872295,8.918121561890406,4.7527692855376715,0.994120559260993,1.637392990769982,5.42759147880561,6.844556224183641,32.64990677670804,0.04637633814369345,3.3372371912008827,0.12624618303254953,10.313634455026367,0.252523683119253,3.2974570541926234,1.0539703533698108,0.19594832662843462,1.441405021252507
109,27.0,10.73312629199899,2.182029668043545,1.127314544004903,5.357647277573413,0.27841038889947367,1.5680875410817339,0.1446111752236638,7.442338011980809,0.01641564413230558,0.16432502871307195,2.1448177263280326,0.46677517835895876,8.918121561506783,4.752769285363141,0.9941205592742667,1.6373929907634512,5.42759147877299,6.844556224354198,32.649906778556115,0.04637633814252729,3.3372371910995144,0.12624618303075824,10.313634454550822,0.2525236831126952,3.297457053969177,1.053970353373856,0.19594832661950146,1.4414050212138483
