,Returns,Standard Deviation,Sharpe Ratio
5377,0.2388136598563691,0.17533337544923883,1.1578723066056755
5378,0.23690636883001076,0.1748823873240123,1.1499521015653347
21952,0.23316874928158499,0.17225504157205107,1.1457937456015146
21953,0.23216855845094075,0.17213517740511877,1.1407811082611483
5379,0.23454869871597211,0.17436244740172097,1.1398595378629128
20608,0.2260365809773076,0.16749075273329617,1.1358034868959648
21954,0.2308481704409161,0.17199781273145695,1.1340154118439172
20609,0.2253841068038149,0.16745281925636135,1.1321643173625624
17472,0.2313375417530638,0.17272529420005597,1.1320724197267018
17473,0.2305228138451383,0.1725407538186982,1.1285612792079749
5380,0.23186568224437926,0.173821694433823,1.127970147126974
