,Returns,Semi-Deviation,Sortino Ratio,ASIANPAINT Weight,BAJFINANCE Weight,BAJAJFINSV Weight,BRITANNIA Weight,DIVISLAB Weight,HCLTECH Weight,HDFCBANK Weight,HINDALCO Weight,HINDUNILVR Weight,HDFC Weight,ICICIBANK Weight,INFY Weight,JSWSTEEL Weight,KOTAKBANK Weight,NESTLEIND Weight,RELIANCE Weight,SHREECEM Weight,TCS Weight,TATASTEEL Weight,TECHM Weight,TITAN Weight,WIPRO Weight
42453,29.579703128463937,11.210221244718939,2.319285459304581,9.750171812913837,9.403798824388495,0.19247390949291748,6.4481811628122845,9.514148884673896,0.17077316443576523,3.611893577314275,2.106041643178881,2.0759296180234905,0.09568042141467017,1.26854772630986,10.317076724441106,7.467519169057891,1.9224163542675663,8.038293971469262,8.561395376792724,0.16447918221090685,2.5647559445623744,5.430362151229986,0.25845598825028593,2.933661209002686,7.70394318375684
49973,29.3325731911402,11.231987642839476,2.292788597177434,7.810723087712808,1.5622186453706812,7.431031250162599,1.2431474616315215,8.59058420553936,4.8223938710389165,2.9185799526651004,3.4649421963932796,9.914738167900067,2.1126805253458727,0.379424211328468,2.10012547523393,5.097799937978699,1.6588093851820185,5.8554769138901674,8.859884086085335,0.630617896569492,4.0454776394732255,6.406870889692261,1.056445907315327,12.573182022278134,1.464846271212754
34195,29.023814296423495,11.101067991957752,2.292014994850626,3.492752760664873,2.583615359079522,7.531116401105987,2.3778480370800996,8.808496907926568,5.983374438124129,1.0238697423380854,2.564857852405041,6.453150655157608,1.5566457251024344,0.3719990318560622,5.205469279886317,7.092781210558845,2.8797440191477746,9.140685101799487,5.6535338669099575,1.7646409296948766,4.133231142121778,7.6108563010107835,1.7686992816509501,6.410530536884068,5.59210141949475
33543,29.04583210126588,11.134474224438657,2.2871158159737655,3.5256476718887106,6.115047014418156,0.4790421539021409,7.900873638650367,6.277963473683725,2.1350382680852387,2.1635830212921943,2.62821769314942,8.079259624917945,0.011312976212406754,1.3704017641256359,2.412347550209961,6.889239701277776,0.671094777629575,8.297102025990126,8.99358632733496,3.9156030200146317,7.393657364277777,6.670835357363394,5.16413672293987,8.542793069621753,0.36321678301423005
32278,28.6358700495507,10.995918549239772,2.2786518413491703,2.689268094249124,4.202148861588386,1.8003607592108104,1.2426620263129267,8.545842785752649,8.62097064607148,0.18387626969258378,3.5719239277440535,8.620786714170317,3.219271990404462,0.0677385649770894,5.96853180085771,7.3515408864770055,0.7369610282547012,6.864200022287416,7.178139769693727,5.66054914218937,3.4336452893530702,6.922579903761028,0.27711244325831935,6.384211526071409,6.457677547622395
20029,28.923343251078148,11.125242452761922,2.2780036802511643,6.231573509664134,2.5706040767545364,5.298677036368287,8.887166389847074,6.719770575570844,1.2695120309390406,2.170186838302091,3.777691206922458,4.798220740755601,2.1159009160666944,0.13981808760108733,2.6682683268135903,10.273618889569585,1.0529954816027525,8.274787286340207,2.4741626257334337,0.20661428157822467,4.314280119922674,7.772372559247727,2.1064720471802563,5.992656599591573,10.884650373628128
36733,29.312859123197775,11.301700574588994,2.276901511711975,1.0562786435585902,7.65497518243814,5.166193371979605,3.4490912337839843,8.186514615592218,0.36022961836365247,7.271514618293992,0.1522276655631175,6.890232435670194,0.18504000499456136,3.0525450330639283,3.580369130254428,7.0577996345280685,0.31584708680752993,8.15655686678047,1.4721536890589015,5.136933524705034,6.538861618333587,6.023362836706323,3.1325867732384127,8.201150758015217,6.9595356582700525
49205,28.23765758573909,10.835393877902087,2.2756586298192993,7.129136262934082,5.982261054608777,3.5570369303621203,2.2976427297968702,6.095260532959027,0.47314373142514987,1.0141761797162634,0.29845793685947575,8.435301825255234,1.393449394580442,0.6814428432902111,5.497443168405336,4.098135885839806,0.7624265374645391,5.897685226207189,7.81569881734853,7.510184450399699,5.654936340729953,5.0411918164594125,2.931983655374783,8.747374528744952,8.685630151238161
12365,28.32600388439788,10.87973514663854,2.2745042550087757,1.7961320845998245,1.4764817744763865,3.5247917133859317,6.789756861371621,8.596499463990046,2.9991824719268827,2.4917823100977947,5.200648995390333,7.118186050374992,0.36740991544126417,0.5943898870850254,8.860595957180415,8.754042715068396,2.6662414532865153,10.676220091838271,9.404228385605508,0.7280000425081219,5.1119537244078455,6.107796599168966,1.4838838477094718,0.1563743980256511,5.095401257060738
23637,28.618180331409338,11.01501006675453,2.273096454716778,5.413223321358146,6.395157912280354,2.2347521446293825,7.840032643392697,6.449884657509291,2.9548515986120085,2.063281376584427,1.5109701854593034,3.3993843784559297,1.555851622669106,2.4743204671548797,7.88644223829566,6.298364804331026,1.411800814984117,6.929081970779031,7.198428202938362,0.2574166921990619,8.165192514888933,7.793937673575265,0.4522997770055289,3.8630027904040425,7.4523222124934385
