,number,value,datetime_start,datetime_complete,duration,params_iterations,params_swarm_size,state
33,33,2.4293281384122714,2022-03-31 21:33:49.082976,2022-03-31 21:34:11.802152,0 days 00:00:22.719176000,442.1337887566073,46.52843471403336,COMPLETE
34,34,2.3451880948017796,2022-03-31 21:34:11.802152,2022-03-31 21:34:41.913662,0 days 00:00:30.111510000,466.5121691939081,57.10253206483193,COMPLETE
35,35,2.4441943046363086,2022-03-31 21:34:41.913662,2022-03-31 21:35:17.014833,0 days 00:00:35.101171000,434.99097541162735,71.96986263824613,COMPLETE
36,36,2.3683686661685273,2022-03-31 21:35:17.014833,2022-03-31 21:35:52.170134,0 days 00:00:35.155301000,434.43828351777285,69.85379343182923,COMPLETE
37,37,2.327299550981781,2022-03-31 21:35:52.170134,2022-03-31 21:36:29.716455,0 days 00:00:37.546321000,498.14815994094107,60.868009820572944,COMPLETE
38,38,2.349734766356029,2022-03-31 21:36:29.718487,2022-03-31 21:37:06.737843,0 days 00:00:37.019356000,454.4311491636211,71.95622337561284,COMPLETE
39,39,2.392592735924775,2022-03-31 21:37:06.737843,2022-03-31 21:37:27.358260,0 days 00:00:20.620417000,406.42644004054137,45.075912878170655,COMPLETE
40,40,2.306590121405552,2022-03-31 21:37:27.358260,2022-03-31 21:37:49.195917,0 days 00:00:21.837657000,249.65593947761323,77.69414934017311,COMPLETE
41,41,2.3451880948017796,2022-03-31 21:37:49.195917,2022-03-31 21:38:10.525704,0 days 00:00:21.329787000,421.39547837232595,45.14815992061145,COMPLETE
42,42,2.2020797442417925,2022-03-31 21:38:10.525704,2022-03-31 21:38:33.706435,0 days 00:00:23.180731000,403.00785765161135,51.94910184960638,COMPLETE
43,43,2.293367219423222,2022-03-31 21:38:33.706435,2022-03-31 21:38:55.692119,0 days 00:00:21.985684000,464.12941918830586,42.3230073189642,COMPLETE
44,44,2.3451880948017796,2022-03-31 21:38:55.692119,2022-03-31 21:39:10.688973,0 days 00:00:14.996854000,444.2158027896241,30.636839812218675,COMPLETE
45,45,2.315788661915,2022-03-31 21:39:10.688973,2022-03-31 21:39:37.055701,0 days 00:00:26.366728000,404.0643758613607,59.20589082036625,COMPLETE
46,46,2.3409911672132413,2022-03-31 21:39:37.055701,2022-03-31 21:39:58.832565,0 days 00:00:21.776864000,370.0478625812234,53.57235990183633,COMPLETE
47,47,2.517439864668513,2022-03-31 21:39:58.832565,2022-03-31 21:40:48.434866,0 days 00:00:49.602301000,478.58031361828057,94.03011358654183,COMPLETE
48,48,2.33349665366228,2022-03-31 21:40:48.434866,2022-03-31 21:41:40.335949,0 days 00:00:51.901083000,484.75011120143216,96.44370992951961,COMPLETE
49,49,2.3870025659810254,2022-03-31 21:41:40.335949,2022-03-31 21:42:33.364030,0 days 00:00:53.028081000,481.94400564695275,99.85950303330827,COMPLETE
