,ADANIPORTS,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BPCL,BHARTIARTL,BRITANNIA,CIPLA,DIVISLAB,DRREDDY,GAIL,GRASIM,HCLTECH,HDFCBANK,HEROMOTOCO,HINDALCO,HINDUNILVR,HDFC,ICICIBANK,ITC,IOC,INDUSINDBK,INFY,JSWSTEEL,KOTAKBANK,LT,M&M,NTPC,ONGC,POWERGRID,RELIANCE,SBIN,SUNPHARMA,TCS,TATAMOTORS,TATASTEEL,TECHM,TITAN,UPL,ULTRACEMCO,WIPRO
0,267.55,878.75,449.9,2518.0,6095.85,896.0499999999998,340.5,2986.4,655.35,1162.5,3108.6,369.75,3767.7500000000005,845.85,1088.75,2686.05,84.9,856.55,1258.45,263.0,327.5,433.25000000000006,963.85,1105.25,1027.0,727.2500000000001,1289.2,1265.35,144.5,242.5,141.0,1015.35,227.80000000000004,815.55,2416.4,401.9,257.4,520.05,352.05,440.35,2824.0,556.45
1,257.95,880.8,438.4,2483.35,6052.450000000001,891.4500000000002,326.8,2972.6,645.65,1149.7,3056.0,359.8,3657.25,845.95,1070.5,2637.8,80.75,859.0,1216.7,255.55000000000004,325.1,426.45,934.2,1078.9,1044.7,705.3,1255.95,1242.5,143.3,238.05,140.95,995.3000000000001,220.7,799.1,2369.6,377.05,256.9,516.4,351.40000000000003,433.85,2749.15,557.7
2,255.7,900.65,436.45,2502.35,5997.850000000001,902.65,323.45000000000005,2966.7,640.85,1147.5,3070.65,372.25,3659.1,842.8,1062.4,2616.85,82.6,847.95,1209.4,256.7,324.85,442.65,935.2499999999999,1074.05,1083.1,707.75,1256.9,1249.2,142.25,241.85,139.15,1005.15,217.75,800.5,2348.95,374.44999999999993,274.3,521.9,347.7,435.3,2733.05,556.9
3,251.8,886.4,430.7,2485.5,6107.250000000002,912.3,322.2,3001.7000000000003,652.1,1137.2,3046.25,372.7,3652.4,841.4,1067.1,2578.1999999999994,80.55,843.05,1209.3,250.09999999999997,315.1,450.85,943.95,1069.35,1058.2,703.6,1236.85,1226.15,141.45,237.55,139.5,1032.2,216.85,791.95,2381.6,365.9,268.75,525.1,347.85,443.35,2735.3,555.1
4,245.0,872.35,409.25,2419.25,6106.300000000001,884.2500000000001,322.34999999999997,2946.55,637.45,1126.95,2991.8,370.6,3557.1999999999994,825.05,1056.2,2520.1,76.65,820.25,1179.45,246.75,309.6,441.55000000000007,925.5000000000001,1050.8,1026.35,691.65,1206.4,1197.45,137.85,226.6,138.1,1013.25,209.55,783.8,2371.25,343.55,249.9,510.8,344.05000000000007,417.4,2667.7,549.85
5,241.4,874.6,413.7,2375.85,6314.499999999999,903.55,323.84999999999997,2902.3,622.35,1129.7,3010.7,373.2,3575.7,828.35,1062.35,2489.65,76.9,809.85,1174.4,245.05000000000004,313.65,446.80000000000007,947.05,1063.3,1041.15,695.1,1179.1,1198.0,139.55,230.15000000000003,141.65,1025.75,208.95,794.15,2397.6,353.35,253.6,522.15,348.0,425.45,2705.2,555.8
6,234.05,873.85,417.2,2360.5,6306.200000000002,888.0500000000001,321.15,2919.3,610.05,1099.5,2931.5,369.3,3622.1,814.55,1058.6,2505.45,77.9,811.75,1161.55,239.45,316.05,442.9,936.75,1055.7,1019.65,700.85,1173.35,1162.6,141.6,225.5,143.25,1051.6,204.3,782.25,2362.35,360.2,251.65,507.3,345.05,424.9,2726.8,537.45
7,236.60000000000002,872.9,406.1,2344.35,6208.8,890.1500000000001,315.4,2940.2,611.45,1100.3,2923.25,365.85,3549.65,810.0500000000001,1046.95,2467.2,75.6,819.7,1151.85,236.75000000000003,315.15,440.00000000000006,913.25,1049.95,1012.8,692.0,1179.15,1181.9,145.2,221.35000000000002,142.75,1045.45,199.4,788.15,2327.05,355.0,245.75,507.40000000000003,346.9,424.9,2670.05,548.9
8,230.2,868.55,406.7,2369.7,6077.850000000001,895.9,308.6,2905.2,608.65,1084.45,2890.95,362.9,3527.0,826.4000000000001,1060.15,2473.7,76.7,832.75,1167.65,239.50000000000003,315.75,439.2,936.4,1083.4,1003.7000000000002,689.15,1156.75,1205.05,144.25,223.2,142.9,1076.85,200.9,796.6,2279.2,364.6,246.6,504.45,349.95,411.1000000000001,2684.35,546.5
9,227.8,889.4,390.6,2362.45,6075.9,909.4,308.75,2897.6,614.3,1087.45,2915.0,357.55,3499.2,828.8499999999999,1049.75,2437.55,74.7,827.25,1159.3,235.75,317.25,435.40000000000003,917.0,1133.0,1003.45,684.1,1134.65,1188.55,143.2,223.25,142.85,1061.65,196.05,791.85,2278.8,354.3,238.75,514.0,341.7,398.54999999999995,2626.8,545.25
10,218.25,879.25,374.25,2322.15,5975.3,932.55,306.1,2859.15,609.1,1077.1,2935.9,335.85,3503.7,838.0499999999998,1042.15,2427.75,71.8,804.25,1149.8,224.45,313.9,426.6500000000001,921.55,1139.9,972.45,675.6,1107.9,1177.2,136.45,219.45000000000002,139.1,1073.3,184.3,787.1,2261.1,341.3,229.7,520.55,335.85,390.35,2618.2,543.1
11,219.3,850.3,373.2,2249.9,5503.2,896.6,300.25,2765.3,591.05,1067.4,2874.9,339.45,3501.0,842.3499999999999,1025.85,2435.55,71.2,809.95,1131.8,223.1,315.4,416.90000000000003,899.1,1131.9,990.95,667.4,1083.55,1165.65,134.6,214.40000000000003,138.15,1016.85,181.0,784.95,2277.65,340.2,235.90000000000003,517.4,334.24999999999994,388.0,2641.1,547.15
12,232.85,845.55,393.0,2266.3,5644.9,895.8,310.3,2733.0,598.05,1070.7,2915.5,342.95,3522.7,838.2499999999999,1035.8,2482.8,71.85,810.45,1153.0,228.75,314.05,415.0,896.4499999999999,1139.65,998.5500000000001,668.7,1122.95,1152.5,135.15,218.00000000000003,135.95,1043.6,182.95,793.9,2279.3,354.15,238.0,512.5,339.19999999999993,391.95,2638.7,542.0
13,219.4,840.35,387.6,2278.35,5639.4,885.4999999999999,309.6,2679.7,593.15,1060.2,2870.1,338.7,3476.15,841.9,1018.3,2488.5,67.6,795.05,1136.65,224.4,308.95,403.2000000000001,873.65,1121.25,1023.85,662.65,1116.1,1150.75,132.2,213.30000000000004,134.65,1004.5499999999998,173.65,792.6,2280.1,342.25,232.0,507.0,340.85,373.45,2617.65,542.55
14,221.3,844.45,409.15,2272.95,5742.05,875.55,309.3,2619.7,580.25,1057.95,2757.1,340.5,3452.25,835.25,1023.0,2469.9,68.3,775.6,1131.1,226.3,306.4,396.15000000000003,873.3999999999999,1137.05,1025.35,660.85,1102.7,1138.7,133.0,207.3,132.2,984.2,175.6,773.1500000000001,2254.5,328.55,235.6,507.35,343.4,377.7,2695.05,550.8
15,221.75,869.95,424.15,2318.85,5820.650000000001,883.2500000000001,298.7,2615.9,581.9,1081.85,2882.35,366.95,3447.3,839.25,1030.3,2591.5,72.35,771.5,1158.45,232.75,308.75,406.4,898.0000000000001,1136.25,1068.0,683.05,1142.2,1198.9,138.15,216.25000000000003,133.1,1004.15,184.6,789.2,2295.75,339.5,247.8,514.25,347.6,399.2,2713.4,550.1
16,218.4,878.6,420.85,2327.3,5856.3,877.9,297.5,2602.6,580.6,1087.1,2903.25,356.7,3444.75,838.7000000000002,1041.15,2525.2,72.0,783.3,1174.6,236.04999999999998,309.4,395.5,907.2,1137.65,1107.25,681.0,1114.15,1178.3,137.95,219.65,133.0,1003.9500000000002,182.95,807.25,2304.65,332.6,254.9,514.55,354.45,401.6,2750.45,547.05
