Date,ASIANPAINT,BAJFINANCE,BAJAJFINSV,BRITANNIA,DIVISLAB,HCLTECH,HDFCBANK,HINDALCO,HINDUNILVR,HDFC,ICICIBANK,INFY,JSWSTEEL,KOTAKBANK,NESTLEIND,RELIANCE,SHREECEM,TCS,TATASTEEL,TECHM,TITAN,WIPRO
2016-01-01,850.608887,602.348328,1978.543457,1374.428223,1108.503052,385.106506,528.506653,82.550529,792.340698,1169.114624,227.737686,482.005096,93.92794,725.56427,5311.719238,486.556549,11121.029297,1082.013306,219.908173,461.389832,340.842285,202.975677
2016-01-04,852.593201,598.059875,1954.307739,1368.077148,1096.297607,385.1521,519.647644,78.515373,794.607056,1130.328369,221.28656,470.513763,95.546753,703.665161,5205.810547,476.948639,10804.255859,1061.057739,219.481003,458.151581,340.212952,203.431641
2016-01-05,871.807617,592.664673,1940.843384,1365.361816,1094.199951,383.717926,515.715759,80.314178,784.385376,1123.546631,222.282349,468.39856,99.058762,706.109497,5199.016113,481.668732,10867.756836,1051.810791,234.346603,463.031219,336.630768,203.139801
2016-01-06,858.013977,603.474854,1933.41333,1381.469727,1084.378296,383.080475,517.997192,78.320908,779.852783,1123.453613,216.567245,466.348938,96.781441,701.969116,5251.443359,494.631134,11188.242188,1066.431152,229.60498,465.870178,336.776001,202.4832
2016-01-07,844.413879,603.380981,1921.943726,1356.088257,1074.60437,375.636505,512.706055,74.528839,758.761841,1095.722656,213.666412,458.259216,93.868484,690.046875,5177.484863,485.550232,10725.758789,1061.796509,213.500595,453.183197,333.096954,200.568176
2016-01-08,846.591736,623.953796,1995.099365,1335.723022,1077.226563,377.138977,515.691406,74.771919,749.141541,1091.031128,212.194366,463.71051,95.222069,693.488831,5171.607422,491.540253,10895.698242,1073.594971,216.661682,463.253021,336.921265,202.738541
2016-01-11,845.865845,623.133606,1938.250488,1343.546997,1048.429321,370.855927,513.871094,75.744255,750.898987,1079.093262,207.345184,460.396057,93.255707,699.225525,5021.671387,503.927612,10660.401367,1057.811157,214.995697,450.078003,334.065155,196.045029
2016-01-12,844.946289,613.509338,1952.312988,1353.166016,1049.192261,368.807098,508.215881,73.507889,758.253113,1070.081787,205.007217,457.888458,92.629219,690.396057,4994.677734,500.980499,10351.736328,1042.004639,209.955093,450.166718,335.856262,200.221649
2016-01-13,840.735413,600.569763,1982.183594,1337.057739,1034.078369,376.251221,514.623535,74.577446,770.324768,1084.760498,207.388474,472.476166,91.796951,687.552734,5050.963867,516.027405,10297.079102,1020.578369,210.681259,447.5495,338.809174,199.346191
2016-01-14,860.917847,600.376953,1943.735718,1333.559937,1036.939087,377.366608,509.575073,72.632797,765.237122,1077.003052,204.141281,494.107025,91.774086,682.514343,5156.550781,508.743591,9957.69043,1020.399109,203.97467,456.022278,330.821869,198.890228
2016-01-15,851.092896,590.436523,1900.450806,1315.864136,1027.069824,381.555237,505.885834,69.813049,743.961243,1068.177612,194.356354,497.116058,88.938873,674.034058,5139.61084,514.326294,9575.365234,1012.473511,196.242859,461.833466,325.15802,198.105988
2016-01-18,823.069824,543.786865,1827.045898,1272.671753,1017.820435,383.513062,497.973419,69.229652,749.233887,1051.455322,193.187332,493.62735,90.630844,665.853088,4991.14502,487.27533,9479.918945,1019.884216,201.539795,459.038818,323.608978,199.583298
2016-01-19,818.472229,557.788696,1843.901001,1257.806274,1020.967041,381.646332,502.803467,69.861671,749.696533,1071.150391,198.079819,497.00705,91.325928,667.150085,4984.532715,500.093994,9616.006836,1020.623474,203.333893,454.691467,328.401398,197.704758
2016-01-20,813.438477,557.245178,1847.341797,1233.275879,1010.954834,383.308105,494.308472,65.729271,735.450928,1055.961182,194.31308,488.982819,93.639832,661.114075,5036.684082,481.381195,9492.422852,1020.981323,198.20784,449.811859,329.998871,197.90535
2016-01-21,817.407227,567.388428,1841.856567,1205.662109,1008.809265,380.280457,496.589966,66.409912,717.459045,1050.804932,195.958298,495.87323,93.777023,659.318237,4985.497559,471.629486,9305.631836,1011.95929,201.283478,450.122406,332.467682,200.914703
2016-01-22,842.090576,575.155151,1886.787109,1203.913452,1031.599243,382.101563,500.133606,70.347824,713.66626,1076.213379,201.543518,495.524261,97.677727,681.466736,5001.794434,481.189514,9694.307617,1030.474976,211.706467,456.24408,336.533997,200.659363
2016-01-25,850.463623,578.677734,1919.350586,1197.792358,1036.605469,381.851227,505.40036,70.007515,724.581604,1091.217041,204.401077,496.134857,101.267494,679.421509,5014.41748,481.093658,9784.087891,1034.469482,217.772324,456.510284,343.165894,201.377182
2016-01-27,831.055786,586.647034,1887.535034,1219.446167,1091.053101,383.364563,502.730591,69.083809,710.336121,1086.897217,205.483459,496.505646,102.547905,673.036316,5038.613281,478.889374,9735.339844,1041.247192,220.079041,446.307404,338.518677,203.401825
2016-01-28,831.442993,570.747986,1869.184082,1228.92688,1076.702271,387.26236,500.813141,67.771164,732.398376,1066.273071,201.933151,492.624146,99.891037,661.712646,5021.397461,487.299316,9883.344727,1046.387085,217.174271,443.645813,328.207764,201.450821
2016-01-29,842.042358,585.802124,1856.717041,1237.763306,1087.954102,397.006897,509.623596,68.549019,755.663025,1096.233765,199.292114,508.018799,96.67627,682.015503,5038.887695,496.164551,10306.458008,1073.363525,213.329742,444.843506,352.12146,207.174988
2016-02-01,858.981934,593.188416,1858.612061,1288.871826,1088.907471,403.679138,514.429321,69.132416,740.908691,1096.280029,188.078415,511.703857,96.081779,686.106018,5003.03418,493.720612,10434.776367,1078.480591,212.987991,441.472137,348.490814,209.144394
2016-02-02,854.238831,574.241028,1813.282349,1285.351074,1072.268066,400.171143,511.541077,66.652992,740.122375,1096.047607,182.19014,512.66333,91.760353,675.580444,5010.746582,479.751892,10171.445313,1076.415894,197.737946,420.933411,340.793884,208.813095
2016-02-03,836.040833,630.401367,1873.572388,1301.551147,1055.151978,390.747437,506.71109,64.805573,760.010681,1078.536133,176.691544,504.878784,89.025757,664.007385,4965.756348,470.287689,9932.483398,1084.584717,191.373093,418.937225,342.778595,205.334396
2016-02-04,860.869324,626.858887,1875.816284,1314.552368,1036.796265,397.74057,509.308075,66.798836,772.221069,1085.410522,176.604935,514.494934,92.437157,674.682556,5036.409668,466.286377,10296.834961,1086.268188,193.039047,416.497375,350.475555,206.125885
2016-02-05,870.452332,661.883179,1903.542725,1317.406006,1058.870605,398.795319,512.244873,69.278275,781.610291,1098.974121,181.324234,512.292542,94.847099,690.396057,4977.82959,465.256134,10144.579102,1087.120972,199.788391,421.510101,357.785187,205.371231
2016-02-08,860.143372,658.108459,1830.736084,1313.839233,1019.012329,389.6698,502.827667,67.868401,766.763428,1081.46228,180.588181,501.86972,96.040634,671.539795,4970.025879,460.53595,10065.592773,1060.637939,200.001953,417.562012,359.769928,200.622559
2016-02-09,855.884338,650.588806,1779.47229,1280.863892,985.638123,371.64798,498.070557,68.062866,764.404602,1077.560791,181.324234,483.051758,91.458542,675.480652,4975.76416,458.834808,10067.056641,1024.033447,201.198044,397.68866,355.171173,197.401535
2016-02-10,848.479309,640.168945,1784.85791,1252.743652,970.381226,379.420776,491.711426,65.048653,762.739624,1037.287964,179.462494,483.444244,93.520935,665.803162,4864.069336,461.302704,10098.894531,1018.378235,201.368912,390.724152,358.608124,195.542542
2016-02-11,828.297119,610.584351,1692.054443,1212.24353,972.192993,370.524567,473.435181,61.937206,742.434814,990.930115,172.53511,470.404694,91.604897,627.492188,4790.11084,443.045135,10113.761719,986.575928,191.800262,383.227295,345.005402,190.388931
2016-02-12,827.522583,592.55603,1696.542603,1180.119629,941.297974,366.053436,471.542053,59.214695,751.685242,1006.816406,167.59935,473.021301,91.961571,620.558289,4642.285645,434.419525,10261.547852,999.436035,185.819839,381.497253,344.521332,190.425781
2016-02-15,831.200989,613.622864,1718.883179,1226.924805,946.637817,379.283203,472.609985,65.145882,744.377502,1003.750427,176.215256,476.117676,95.244934,623.800781,4643.847656,453.683411,10268.933594,1018.534973,210.766693,381.763428,347.280609,193.536316
2016-02-16,813.390198,594.003601,1699.285278,1208.515747,924.706116,377.999176,472.53714,63.055378,742.990051,1000.684875,170.240402,470.622711,94.54071,618.812378,4636.54834,445.920349,9998.203125,1016.91925,209.186157,375.153778,336.485504,193.849243
2016-02-17,828.587463,603.840454,1696.642212,1220.619629,942.585266,378.228485,473.241028,63.979099,751.639099,999.895142,165.174759,478.777893,95.802834,623.850586,4657.575195,456.486755,9853.494141,1021.408081,214.653961,381.097961,316.44458,193.978073
