,55848
Returns,0.2855732662990642
Standard Deviation,0.11360897379422152
Sortino Ratio,2.1985346575832585
ASIANPAINT Weight,0.048733750076027677
BAJFINANCE Weight,0.062485912386135566
BAJAJFINSV Weight,0.02122942545581189
BRITANNIA Weight,0.07165402059287417
DIVISLAB Weight,0.03498158776591978
GRASIM Weight,0.012061317249073295
HCLTECH Weight,0.04414969597265838
HDFCBANK Weight,0.05790185828276626
HINDALCO Weight,0.06706996648950486
HINDUNILVR Weight,0.053317804179396966
ICICIBANK Weight,0.012061317249073295
INFY Weight,0.048733750076027677
JSWSTEEL Weight,0.053317804179396966
LT Weight,0.007477263145703999
NESTLEIND Weight,0.06706996648950486
POWERGRID Weight,0.05790185828276626
RELIANCE Weight,0.007477263145703999
TCS Weight,0.02122942545581189
TATACONSUM Weight,0.048733750076027677
TATASTEEL Weight,0.02122942545581189
TECHM Weight,0.062485912386135566
TITAN Weight,0.06706996648950486
ULTRACEMCO Weight,0.02122942545581189
WIPRO Weight,0.030397533662550484
