,number,value,datetime_start,datetime_complete,duration,params_ANTS,params_EVA_RATE,params_ITERATIONS,params_Q,state
31,31,2.27851096623418,2022-03-24 03:05:53.604283,2022-03-24 03:10:01.912618,0 days 00:04:08.308335000,207,0.3855348737470822,543,0.6990101546012921,COMPLETE
32,32,2.240272784663013,2022-03-24 03:10:01.913453,2022-03-24 03:11:56.458896,0 days 00:01:54.545443000,157,0.42613277188691084,392,0.7370887812848427,COMPLETE
33,33,2.2926934627613553,2022-03-24 03:11:56.459711,2022-03-24 03:16:13.089624,0 days 00:04:16.629913000,218,0.3240187213760586,518,0.45491045528413826,COMPLETE
34,34,2.3312611608133915,2022-03-24 03:16:13.090496,2022-03-24 03:17:26.991977,0 days 00:01:13.901481000,104,0.5244308522845916,473,0.9515164729994935,COMPLETE
35,35,2.2777474195417,2022-03-24 03:17:26.992802,2022-03-24 03:18:29.375782,0 days 00:01:02.382980000,92,0.5435241975711804,474,0.9395200951912617,COMPLETE
36,36,2.277022077829365,2022-03-24 03:18:29.376613,2022-03-24 03:19:03.985494,0 days 00:00:34.608881000,69,0.575564937359803,394,0.8266908549891627,COMPLETE
37,37,2.250136554863603,2022-03-24 03:19:03.986280,2022-03-24 03:20:46.349572,0 days 00:01:42.363292000,133,0.7260655003988798,453,0.9983982863168125,COMPLETE
38,38,2.318349476404592,2022-03-24 03:20:46.350392,2022-03-24 03:25:52.883380,0 days 00:05:06.532988000,328,0.6983799254366827,309,0.07773947937988401,COMPLETE
39,39,2.3097649220841507,2022-03-24 03:25:52.884197,2022-03-24 03:31:06.220542,0 days 00:05:13.336345000,332,0.8572359626925019,310,0.146781888404058,COMPLETE
40,40,2.23012398961211,2022-03-24 03:31:06.221402,2022-03-24 03:32:10.945075,0 days 00:01:04.723673000,173,0.6846881506134687,187,0.381983526450219,COMPLETE
41,41,2.313426889096908,2022-03-24 03:32:10.945912,2022-03-24 03:36:18.749140,0 days 00:04:07.803228000,255,0.8221042308800605,387,0.06654254401364529,COMPLETE
42,42,2.289965947098113,2022-03-24 03:36:18.749981,2022-03-24 03:39:02.917255,0 days 00:02:44.167274000,247,0.8698940173525285,270,0.08315710877696553,COMPLETE
43,43,2.295314293480647,2022-03-24 03:39:02.918121,2022-03-24 03:47:59.806547,0 days 00:08:56.888426000,370,0.7912183469028611,437,0.004302761065182167,COMPLETE
44,44,2.292365083713686,2022-03-24 03:47:59.807388,2022-03-24 03:52:53.802038,0 days 00:04:53.994650000,319,0.7348342015725957,311,0.12562799768484947,COMPLETE
45,45,2.2649155602853175,2022-03-24 03:52:53.802858,2022-03-24 04:01:54.913317,0 days 00:09:01.110459000,417,0.8724122492631529,358,0.210401990709683,COMPLETE
46,46,2.2983799579695394,2022-03-24 04:01:54.914172,2022-03-24 04:06:17.206260,0 days 00:04:22.292088000,255,0.9216011729271505,408,0.052010847733102675,COMPLETE
47,47,2.268350265149223,2022-03-24 04:06:17.207098,2022-03-24 04:09:24.846360,0 days 00:03:07.639262000,187,0.6808740934335638,487,0.3607771806414298,COMPLETE
48,48,2.2532438222803397,2022-03-24 04:09:24.847194,2022-03-24 04:16:05.726295,0 days 00:06:40.879101000,447,0.8238891282704021,234,0.29548055591518496,COMPLETE
49,49,2.269157767110893,2022-03-24 04:16:05.727176,2022-03-24 04:19:41.067508,0 days 00:03:35.340332000,236,0.6057782082345928,381,0.5255188940612273,COMPLETE
