,MSE,RMSE,MAE,R2,MAPE
ADANIPORTS,0.001205197271609589,0.034715951256008945,0.026233537839112187,0.9550611817191905,39.971336938049554
ASIANPAINT,0.000637003464334738,0.025238927559124574,0.019440391624577218,0.9713602837017238,29.983390550856676
AXISBANK,0.003075390455722442,0.05545620304098038,0.03837037367236795,0.8713653383920523,inf
BAJAJ-AUTO,0.001857795692539269,0.04310215415195938,0.02995392292620134,0.9510276796590594,inf
BAJFINANCE,0.00040383050472542735,0.020095534447369827,0.013593464183683006,0.9441009322789372,45.04881225014301
BPCL,0.0004947107053490294,0.022242093097301553,0.016152693238484856,0.7458794564316384,64.72948749517198
BHARTIARTL,0.0034911612688446466,0.05908604969740867,0.04608695451365007,0.8732886871190634,28.601663906185532
BRITANNIA,0.00036916044946458724,0.019213548591152735,0.012901574396817429,0.9450939243388005,inf
CIPLA,0.00291217936353076,0.05396461214102034,0.04234551104979829,0.9443887987042763,inf
DIVISLAB,0.0019802927125421774,0.04450047991361641,0.03499894730463493,0.9317671797907753,28.646608988610815
DRREDDY,0.002351561547654525,0.04849290203374639,0.039423028297982825,0.9301368222912929,34.544826084358746
GAIL,0.0002000559795314491,0.01414411466057346,0.010783197006629046,0.7141687521052174,inf
GRASIM,0.00012138196755883828,0.011017348481319736,0.009092812668848866,0.8387122108440417,inf
HCLTECH,0.0009787702688537204,0.03128530435929496,0.022672220245666515,0.9747132220261568,inf
HDFCBANK,0.0007565371934884942,0.027505221204136756,0.020016038952084324,0.924532810903584,inf
HEROMOTOCO,0.0013025035846232812,0.03609021452725491,0.02777840678123483,0.966640090620496,inf
HINDALCO,0.0018298161900083948,0.04277635082622634,0.031478006256445784,0.9484681596521235,56.31200422312737
HINDUNILVR,0.0016662973830847163,0.04082030601409936,0.029182627657298565,0.6121364435095834,8.41860025438297
HDFC,0.0023256406047198856,0.04822489610895896,0.03567631340561302,0.8886187422883817,30.35801920740573
ICICIBANK,0.002617298533886047,0.05115954000854628,0.03804350271957252,0.9050434327547261,34.019647452732684
ITC,0.0015121650262285794,0.03888656614087414,0.029496287011369655,0.6892629275794415,inf
IOC,6.673420358959476e-05,0.008169100537366079,0.006609858395717777,0.3484884150906059,inf
INDUSINDBK,0.002387566736174826,0.04886273361340753,0.03317223206753667,0.7345362638632033,inf
INFY,0.001066548576980826,0.0326580553153556,0.02228296846054724,0.978070206580501,inf
JSWSTEEL,8.425653298964649e-05,0.0091791357430668,0.007288875118325304,0.9514473506011167,inf
KOTAKBANK,0.0023254583670278767,0.048223006615389266,0.03528141255258219,0.9184251850985282,28.171380222254133
LT,0.0028453029929034683,0.05334138161787214,0.04078953257762139,0.7626545907605619,inf
M&M,0.0005092917614843881,0.022567493469244387,0.015592825808889767,0.949164730941515,inf
NTPC,0.001992982334544676,0.044642830718321126,0.033945515098406376,0.40111317331937313,inf
ONGC,0.0007067754135190856,0.02658524804321159,0.021009112741317244,0.39697546421145835,inf
POWERGRID,0.0036613386516840367,0.06050899645246181,0.045134882702865864,0.7811207063411086,36.13149380164855
RELIANCE,0.007929985784673747,0.08905046762748496,0.06961178414720386,0.864321308130946,62.01771723304786
SBIN,0.0012283421793870804,0.03504771289809194,0.026822153506911545,0.9310705497330155,inf
SUNPHARMA,0.000756409053598198,0.02750289173156521,0.019187578789024842,0.9158171494478775,inf
TCS,0.0009676321163054829,0.031106785695495492,0.021553717675313017,0.9710772948839387,inf
TATAMOTORS,0.00039668773671434166,0.01991702128116405,0.015394739344176999,0.9047037934955928,inf
TATASTEEL,0.0008071647018117536,0.028410644163970548,0.02192698694971386,0.9768935443377429,87.60942413517397
TECHM,0.0014245885591491815,0.0377437221157265,0.02821733107825084,0.9670185998141935,65.44487112502435
TITAN,0.001037343712395506,0.03220782067131376,0.0251692005153137,0.9504318529912914,25.59111601874408
UPL,0.0021161463395992803,0.04600159062031747,0.03144928466950597,0.6363586678725222,inf
ULTRACEMCO,0.0011176411498540222,0.03343114042108079,0.024223213470355612,0.967622955578293,50.920743330487895
WIPRO,0.0005862991774612693,0.02421361553880934,0.016424602148294384,0.9751501259311298,inf
