,289
Returns,32.4
Standard Deviation,19.677398201998148
Sharpe Ratio,1.4646245252623624
ASIANPAINT Weight,0.03777671441012643
BAJFINANCE Weight,7.2261887792912445
BAJAJFINSV Weight,0.8700602017504302
BRITANNIA Weight,4.602506455726109
DIVISLAB Weight,4.016543171167482
GRASIM Weight,0.16144058537018474
HCLTECH Weight,1.195370479957407
HDFCBANK Weight,1.7544466032685815
HINDALCO Weight,0.04696902330190772
HINDUNILVR Weight,0.12938063557721147
ICICIBANK Weight,0.265410952725836
INFY Weight,0.4236294937061342
JSWSTEEL Weight,7.946252425892679
LT Weight,1.0547600783761795
NESTLEIND Weight,15.62394778649639
POWERGRID Weight,0.0070380954745930605
RELIANCE Weight,23.20497505499637
TCS Weight,3.4899938833863775
TATACONSUM Weight,0.009650897155113209
TATASTEEL Weight,3.9619407564350633
TECHM Weight,0.7305512193510217
TITAN Weight,21.54459378365025
ULTRACEMCO Weight,0.04475901344663551
WIPRO Weight,1.651813909086664
