Date,ADANIPORTS,ASIANPAINT,BAJFINANCE,BAJAJFINSV,BRITANNIA,DIVISLAB,GRASIM,HCLTECH,HDFCBANK,HINDALCO,HINDUNILVR,ICICIBANK,INFY,JSWSTEEL,NESTLEIND,POWERGRID,RELIANCE,TCS,TATACONSUM,TATASTEEL,TECHM,TITAN,UPL,WIPRO
2016-01-01,259.29550170898443,845.4204711914062,601.3765258789062,1978.06396484375,1374.42822265625,1103.977783203125,563.7884521484375,376.5255126953125,526.2291259765625,81.98336791992188,781.8440551757812,227.0727844238281,472.6702880859375,92.11971282958984,5261.62744140625,81.02664184570312,484.9963684082031,1075.69921875,135.2275390625,215.0947265625,444.8971557617188,340.0265808105469,276.15939331054693,200.9726409912109
2016-01-04,249.9916839599609,847.392578125,597.0950927734375,1953.8341064453125,1368.0771484375,1091.8218994140623,547.2537841796875,376.5700988769531,517.4083251953125,77.97593688964844,784.0803833007812,220.6405029296875,461.4014892578125,93.70738220214844,5156.71533203125,80.99791717529297,475.419189453125,1054.8658447265623,132.73358154296878,214.6768798828125,441.7746887207031,339.3988037109375,272.08303833007807,201.4240875244141
2016-01-05,247.81109619140625,866.48974609375,591.7085571289062,1940.3729248046875,1365.3616943359375,1089.7327880859377,547.5305786132811,375.16778564453125,513.4932861328125,79.76236724853516,773.9942016601562,221.63340759277344,459.327392578125,97.15178680419922,5149.986328125,79.9635238647461,480.1242065429688,1045.6728515625,137.02873229980472,229.21710205078125,446.4798583984375,335.8251037597656,272.99237060546875,201.13511657714844
2016-01-06,244.03143310546875,852.7803344726562,602.501220703125,1932.944580078125,1381.469970703125,1079.9512939453123,546.5280151367189,374.5447082519531,515.7649536132811,77.7828140258789,769.521484375,215.9350128173828,457.31732177734375,94.91829681396484,5201.91796875,80.16465759277344,493.0450134277344,1060.207763671875,134.16529846191406,224.57928466796875,449.2173767089844,335.97003173828125,278.04080200195307,200.4850311279297
2016-01-07,237.44122314453125,839.2631225585938,602.4075317382812,1921.4779052734373,1356.088134765625,1070.2174072265623,532.2827758789061,367.2665100097656,510.4965515136719,74.01678466796875,748.710205078125,213.0426025390625,449.3843078613281,92.0614242553711,5128.65771484375,79.36014556884766,483.9932556152344,1055.600341796875,129.36213684082028,208.827392578125,436.9839172363281,332.2998352050781,261.7666015625,198.5888977050781
2016-01-08,233.95230102539062,841.4277954101562,622.9472045898438,1994.61572265625,1335.7230224609375,1072.8287353515623,535.0509643554689,368.7355651855469,513.4691162109375,74.2582015991211,739.2171630859375,211.5748443603516,454.7300415039063,93.38894653320312,5122.8369140625,81.40019226074219,489.9640808105469,1067.33056640625,133.42634582519528,211.9192657470703,446.6937255859375,336.1149597167969,266.81509399414057,200.7378234863281
2016-01-11,226.8290557861328,840.7061767578125,622.1283569335938,1937.7806396484373,1343.547119140625,1044.149169921875,541.9940795898439,362.5925598144531,511.6566467285156,75.2238540649414,740.951416015625,206.73985290527344,451.479736328125,91.46043395996094,4974.31396484375,82.31962585449219,502.3117370605469,1051.6383056640623,131.07093811035156,210.2897491455078,433.98968505859375,333.2656555175781,266.47012329101557,194.1103973388672
2016-01-12,229.9303131103516,839.7923583984375,612.51953125,1951.83984375,1353.165771484375,1044.9088134765623,531.1530151367189,360.58935546875,506.0257873535156,73.00285339355469,748.2080078125,204.40870666503903,449.0207214355469,90.84600830078124,4947.57568359375,82.03230285644531,499.3740539550781,1035.924072265625,128.85411071777344,205.3594512939453,434.07525634765625,335.052490234375,266.47012329101557,198.2458038330078
2016-01-13,223.0978240966797,835.6071166992188,599.600830078125,1981.7030029296875,1337.0577392578125,1029.8568115234377,527.7637329101561,367.8674621582031,512.4058837890625,74.06507110595703,760.1199340820312,206.7830352783203,463.3260192871094,90.02977752685547,5003.32666015625,82.11849975585938,514.3726806640625,1014.6226196289062,125.25173950195312,206.0697479248047,431.55157470703125,337.9983215332031,257.815673828125,197.3789978027344
2016-01-14,220.7718811035156,855.66650390625,599.4085693359375,1943.2647705078125,1333.5599365234375,1032.70556640625,523.60400390625,368.9580993652344,507.3790893554688,72.1337661743164,755.099609375,203.54530334472656,484.5378112792969,90.0073471069336,5107.92236328125,82.08976745605469,507.1123046875,1014.4445190429688,123.82003021240234,199.5099334716797,439.72149658203125,330.03009033203125,249.94509887695312,196.92752075195312
2016-01-15,211.5165100097656,845.9014892578125,589.4839477539062,1899.9901123046875,1315.8642578125,1022.876953125,524.2772827148439,373.0534057617188,503.705810546875,69.33339691162111,734.1055297851562,193.78895568847656,487.4886474609375,87.22671508789062,5091.14111328125,79.93479919433594,512.6770629882811,1006.5654296875,118.6935577392578,191.94737243652344,445.3248596191406,324.3798828125,244.80258178710938,196.1510162353516
