,56520
Returns,27.1015559529981
Standard Deviation,10.985730981882988
Sortino Ratio,2.1411006688392833
ASIANPAINT Weight,4.95927009404431
BAJFINANCE Weight,4.95927009404431
BAJAJFINSV Weight,1.7115292208871358
BRITANNIA Weight,4.031344130285118
DIVISLAB Weight,4.95927009404431
GRASIM Weight,1.2475662390075395
HCLTECH Weight,2.639455184646329
HDFCBANK Weight,4.031344130285118
HINDALCO Weight,1.2475662390075395
HINDUNILVR Weight,4.031344130285118
ICICIBANK Weight,1.2475662390075395
INFY Weight,6.815122021562696
JSWSTEEL Weight,2.639455184646329
LT Weight,2.639455184646329
NESTLEIND Weight,6.3511590396830995
POWERGRID Weight,4.495307112164714
RELIANCE Weight,7.279085003442293
TCS Weight,2.639455184646329
TATACONSUM Weight,4.95927009404431
TATASTEEL Weight,6.3511590396830995
TECHM Weight,6.3511590396830995
TITAN Weight,7.279085003442293
ULTRACEMCO Weight,2.1754922027667325
WIPRO Weight,4.95927009404431
