,MSE,RMSE,MAE,R2,MAPE
ASIANPAINT,0.13406894402502603,0.3661542626066588,0.3346451720484881,-5.071394218347499,58.12339906104932
BAJFINANCE,0.01827876782229235,0.13519899342189035,0.10488315074975621,0.40509313507789746,34.13168412897056
BAJAJFINSV,0.011148274137771322,0.10558538789894803,0.07364406384952732,0.4304316364417041,25.8491336186142
BRITANNIA,0.030099449114143865,0.17349192809506692,0.16227960176164583,-1.2295017108474395,20.914544809396336
DIVISLAB,0.1321157670887905,0.36347732678777983,0.33174248429059183,-4.950428791301733,47.31755033572893
HCLTECH,0.2936128021321339,0.5418605006199787,0.5042945747565616,-6.471104729430126,151.44729938725575
HDFCBANK,0.008877084953677512,0.09421828354240759,0.07670784636742528,0.5714598136344049,24.597253104187047
HINDALCO,0.006860760682757748,0.08282970893802385,0.0672216107224437,0.5487159977738443,41.09996664052778
HINDUNILVR,0.015996802126841868,0.12647846507149693,0.11132375491464308,-3.17598940184158,12.934970368363707
HDFC,0.007716943629747824,0.08784613611165731,0.07039044225497076,0.5849880019195484,26.200020968628753
ICICIBANK,0.009211220878828514,0.09597510551611034,0.0691592283965776,0.335746260374599,24.801023830600393
INFY,0.14585824929896235,0.38191392917640793,0.33392328193558385,-3.24580066498881,61.39014429677605
JSWSTEEL,0.004327391359615433,0.06578291084784431,0.051585509304818186,0.6554344662936216,52.09253700105015
KOTAKBANK,0.01697888085778882,0.1303030347221001,0.09623901534218979,0.4254770524604563,22.032388893117023
NESTLEIND,0.010365513320327258,0.10181116500820162,0.08680508364625943,-2.420941377073267,9.924623796157258
RELIANCE,0.04440589811632934,0.2107270702029745,0.19335500552903015,-0.6322859350537176,29.201299810999842
SHREECEM,0.004151087340364111,0.06442893247884922,0.05127665669120553,0.4264769226960935,16.68694070242646
TCS,0.02636386129215254,0.16236952082257478,0.13342418282683116,-0.25795457467862537,24.57885580913775
TATASTEEL,0.005263277478298323,0.07254844917914044,0.05473562373411118,0.6773045922253875,55.46848884383297
TECHM,0.016777436897276357,0.12952774566584704,0.10680576595413284,0.5902391780301216,46.04272395485482
TITAN,0.009446835908060251,0.09719483478076524,0.07834941188465776,0.5427541160802414,20.744289872301593
WIPRO,0.15955970030473854,0.39944924621876376,0.3482741249641431,-3.169878262891168,99.99987120183046
