,ASIANPAINT,BAJFINANCE,BAJAJFINSV,BRITANNIA,DIVISLAB,HCLTECH,HDFCBANK,HINDALCO,HINDUNILVR,HDFC,ICICIBANK,INFY,JSWSTEEL,KOTAKBANK,NESTLEIND,RELIANCE,SHREECEM,TCS,TATASTEEL,TECHM,TITAN,WIPRO
0,850.6088869999999,602.348328,1978.543457,1374.4282230000001,1108.503052,385.106506,528.506653,82.550529,792.3406980000001,1169.114624,227.737686,482.005096,93.92794,725.56427,5311.719238000001,486.556549,11121.029297,1082.013306,219.908173,461.389832,340.842285,202.975677
1,852.593201,598.059875,1954.307739,1368.077148,1096.297607,385.1521,519.647644,78.515373,794.607056,1130.3283689999998,221.28656,470.513763,95.54675300000001,703.665161,5205.810547,476.94863899999996,10804.255859,1061.057739,219.481003,458.15158099999996,340.21295200000003,203.43164099999998
2,871.8076169999999,592.664673,1940.843384,1365.361816,1094.199951,383.717926,515.7157589999999,80.314178,784.385376,1123.5466310000002,222.282349,468.39856,99.058762,706.1094969999999,5199.016113000001,481.66873200000003,10867.756836,1051.810791,234.346603,463.031219,336.630768,203.139801
3,858.013977,603.474854,1933.41333,1381.469727,1084.378296,383.080475,517.997192,78.320908,779.852783,1123.4536130000001,216.567245,466.348938,96.781441,701.969116,5251.443359000001,494.631134,11188.242188,1066.4311519999999,229.60497999999998,465.870178,336.77600099999995,202.4832
4,844.413879,603.3809809999999,1921.9437260000002,1356.088257,1074.60437,375.636505,512.706055,74.528839,758.761841,1095.7226560000001,213.666412,458.25921600000004,93.868484,690.046875,5177.484863000001,485.55023200000005,10725.758789,1061.796509,213.50059500000003,453.18319699999995,333.096954,200.568176
5,846.591736,623.953796,1995.0993649999998,1335.7230220000001,1077.2265630000002,377.138977,515.6914059999999,74.771919,749.141541,1091.0311279999999,212.194366,463.71050999999994,95.22206899999999,693.488831,5171.607422,491.540253,10895.698242,1073.594971,216.66168199999998,463.253021,336.921265,202.738541
6,845.8658449999999,623.133606,1938.250488,1343.5469970000001,1048.429321,370.855927,513.8710940000001,75.74425500000001,750.898987,1079.0932619999999,207.34518400000002,460.39605700000004,93.255707,699.225525,5021.671386999999,503.927612,10660.401367,1057.811157,214.995697,450.078003,334.065155,196.045029
7,844.9462890000001,613.509338,1952.312988,1353.1660160000001,1049.192261,368.807098,508.21588099999997,73.507889,758.253113,1070.0817869999998,205.007217,457.888458,92.62921899999999,690.396057,4994.677734000001,500.980499,10351.736328,1042.004639,209.955093,450.16671799999995,335.856262,200.22164899999999
8,840.7354130000001,600.569763,1982.183594,1337.057739,1034.0783689999998,376.251221,514.623535,74.577446,770.324768,1084.760498,207.388474,472.47616600000003,91.796951,687.552734,5050.963867,516.0274049999999,10297.079102,1020.578369,210.68125899999998,447.5495,338.80917400000004,199.346191
9,860.917847,600.3769530000001,1943.735718,1333.559937,1036.939087,377.366608,509.57507300000003,72.632797,765.237122,1077.003052,204.141281,494.107025,91.774086,682.5143429999999,5156.550781,508.74359100000004,9957.69043,1020.399109,203.97467,456.02227800000003,330.821869,198.890228
10,851.0928960000001,590.4365230000001,1900.4508059999998,1315.864136,1027.069824,381.55523700000003,505.885834,69.81304899999999,743.961243,1068.177612,194.356354,497.116058,88.938873,674.034058,5139.61084,514.3262940000001,9575.365234,1012.4735109999999,196.242859,461.833466,325.15802,198.105988
11,823.069824,543.786865,1827.045898,1272.6717529999999,1017.820435,383.513062,497.97341900000004,69.229652,749.233887,1051.455322,193.187332,493.62735,90.630844,665.853088,4991.14502,487.27533,9479.918945,1019.884216,201.539795,459.038818,323.608978,199.58329799999998
