,Date,ASIANPAINT,BAJFINANCE,BAJAJFINSV,BRITANNIA,DIVISLAB,HCLTECH,HDFCBANK,HINDALCO,HINDUNILVR,HDFC,ICICIBANK,INFY,JSWSTEEL,KOTAKBANK,NESTLEIND,RELIANCE,SHREECEM,TCS,TATASTEEL,TECHM,TITAN,WIPRO
0,2016-01-01,850.6088869999999,602.348328,1978.543457,1374.4282230000001,1108.503052,385.1065060000001,528.506653,82.550529,792.3406980000001,1169.114624,227.737686,482.005096,93.92793999999999,725.56427,5311.719238000001,486.556549,11121.029297,1082.013306,219.90817299999998,461.38983200000007,340.84228500000006,202.97567700000002
1,2016-01-04,852.593201,598.059875,1954.307739,1368.077148,1096.297607,385.1521,519.647644,78.515373,794.607056,1130.3283689999998,221.28656,470.513763,95.54675300000001,703.665161,5205.810547,476.94863899999996,10804.255859,1061.057739,219.481003,458.15158099999996,340.21295200000003,203.43164099999998
2,2016-01-05,871.8076169999999,592.664673,1940.843384,1365.3618160000003,1094.199951,383.717926,515.7157589999999,80.314178,784.385376,1123.5466310000002,222.282349,468.39856000000003,99.058762,706.1094969999999,5199.016113000001,481.6687320000001,10867.756836,1051.810791,234.346603,463.031219,336.63076800000005,203.13980100000003
3,2016-01-06,858.013977,603.474854,1933.41333,1381.469727,1084.378296,383.08047500000004,517.997192,78.320908,779.852783,1123.4536130000001,216.567245,466.348938,96.781441,701.969116,5251.443359000001,494.631134,11188.242188,1066.4311519999999,229.60497999999998,465.870178,336.77600099999995,202.48319999999998
4,2016-01-07,844.413879,603.3809809999999,1921.9437260000002,1356.088257,1074.60437,375.636505,512.706055,74.528839,758.761841,1095.7226560000001,213.666412,458.25921600000004,93.868484,690.046875,5177.484863000001,485.5502320000001,10725.758789,1061.796509,213.50059500000003,453.1831969999999,333.096954,200.56817599999997
5,2016-01-08,846.591736,623.953796,1995.0993649999996,1335.7230220000001,1077.2265630000002,377.138977,515.6914059999999,74.771919,749.141541,1091.0311279999999,212.194366,463.71050999999994,95.22206899999999,693.488831,5171.607422,491.54025299999995,10895.698242,1073.594971,216.66168199999998,463.253021,336.921265,202.738541
6,2016-01-11,845.8658449999999,623.133606,1938.2504880000001,1343.5469970000001,1048.429321,370.855927,513.8710940000001,75.74425500000001,750.898987,1079.0932619999999,207.34518400000002,460.39605700000004,93.255707,699.225525,5021.671386999999,503.927612,10660.401367,1057.811157,214.99569700000004,450.078003,334.065155,196.045029
7,2016-01-12,844.9462890000001,613.509338,1952.312988,1353.166016,1049.192261,368.80709799999994,508.21588099999997,73.507889,758.253113,1070.0817869999998,205.007217,457.888458,92.62921899999999,690.396057,4994.677734000001,500.98049900000007,10351.736328,1042.004639,209.955093,450.16671799999995,335.856262,200.22164899999999
8,2016-01-13,840.7354130000001,600.569763,1982.183594,1337.057739,1034.0783689999998,376.251221,514.623535,74.577446,770.324768,1084.760498,207.388474,472.47616600000003,91.796951,687.552734,5050.963867,516.0274049999999,10297.079102,1020.578369,210.68125899999998,447.5495,338.80917400000004,199.346191
9,2016-01-14,860.917847,600.3769530000001,1943.735718,1333.559937,1036.939087,377.366608,509.57507300000003,72.632797,765.237122,1077.003052,204.141281,494.107025,91.774086,682.5143429999999,5156.550781,508.74359100000004,9957.69043,1020.399109,203.97467,456.02227800000003,330.821869,198.890228
