,56620
Returns,28.73262312721575
Standard Deviation,17.723062492518636
Sharpe Ratio,141.9202981303786
ASIANPAINT Weight,7.027152546939062
BAJFINANCE Weight,5.75582548904022
BAJAJFINSV Weight,6.1796011750065
BRITANNIA Weight,3.636947059208815
DIVISLAB Weight,4.908274117107657
GRASIM Weight,3.2131713732425333
HCLTECH Weight,1.0942929434111286
HDFCBANK Weight,4.060722745175096
HINDALCO Weight,3.636947059208815
HINDUNILVR Weight,3.636947059208815
ICICIBANK Weight,4.484498431141377
INFY Weight,7.027152546939062
JSWSTEEL Weight,3.636947059208815
LT Weight,2.365620001309972
NESTLEIND Weight,7.027152546939062
POWERGRID Weight,5.75582548904022
RELIANCE Weight,1.9418443153436906
TCS Weight,5.3320498030739385
TATACONSUM Weight,3.636947059208815
TATASTEEL Weight,1.0942929434111286
TECHM Weight,2.365620001309972
TITAN Weight,5.3320498030739385
ULTRACEMCO Weight,1.5180686293774097
WIPRO Weight,5.3320498030739385
