,5187
Returns,24.18832196861764
Standard Deviation,18.509289440490498
Sharpe Ratio,111.34042738310282
ADANIPORTS Weight,4.471042277895919
ASIANPAINT Weight,5.624465646764663
BAJFINANCE Weight,5.624465646764663
BAJAJFINSV Weight,4.471042277895919
BRITANNIA Weight,6.3934145593438245
DIVISLAB Weight,3.317618909027175
GRASIM Weight,1.7797210838688504
HCLTECH Weight,2.933144452737594
HDFCBANK Weight,5.239991190475082
HINDALCO Weight,1.7797210838688504
HINDUNILVR Weight,6.008940103054243
ICICIBANK Weight,2.548669996448013
INFY Weight,3.702093365316757
JSWSTEEL Weight,5.624465646764663
NESTLEIND Weight,5.624465646764663
POWERGRID Weight,3.702093365316757
RELIANCE Weight,6.008940103054243
TCS Weight,3.317618909027175
TATACONSUM Weight,4.8555167341855
TATASTEEL Weight,2.548669996448013
TECHM Weight,2.1641955401584316
TITAN Weight,4.471042277895919
UPL Weight,6.008940103054243
WIPRO Weight,1.7797210838688504
