,Returns,Standard Deviation,Sharpe Ratio,ASIANPAINT Weight,BAJFINANCE Weight,BAJAJFINSV Weight,BRITANNIA Weight,DIVISLAB Weight,HCLTECH Weight,HDFCBANK Weight,HINDALCO Weight,HINDUNILVR Weight,HDFC Weight,ICICIBANK Weight,INFY Weight,JSWSTEEL Weight,KOTAKBANK Weight,NESTLEIND Weight,RELIANCE Weight,SHREECEM Weight,TCS Weight,TATASTEEL Weight,TECHM Weight,TITAN Weight,WIPRO Weight
44,26.0,16.994116628998402,1.319280106724876,8.574695833995486,3.217389753466619,4.042103074416943,0.6507543128930399,1.50391687149832,2.5904007809960605,8.14911824929656,1.6413375177793104,27.52812876046342,0.24588617134308133,0.6647584200684459,1.860041123538113,1.3513407773876864,0.6805020878198963,0.7344149818178398,0.583837749501151,3.4938686288220637,22.622430168036264,6.89961732732161,1.0059499295378436,1.1698232098515096,0.7896842701487361
43,26.0,16.994116628998402,1.319280106724876,8.571820550007999,3.217494788199087,4.0410130245766025,0.6510684331649248,1.5044321710736834,2.5901582162496535,8.149881312591429,1.6415358350352425,27.525254099057626,0.24600310527313116,0.6647563763639489,1.8604757481085932,1.3517530633052866,0.6806862360380316,0.7347295414591045,0.5840782445767775,3.494358247854575,22.623995746772863,6.900159909611397,1.0060265244949225,1.170391286152292,0.78992754003285
42,26.0,16.994116628998402,1.319280106724876,8.56839724425072,3.2176198422827644,4.039715214026271,0.6514424239567561,1.5050456854293919,2.5898694192833345,8.150789813797521,1.6417719510526352,27.52183153454451,0.24614232651099924,0.6647539431346048,1.860993211009945,1.3522439298636875,0.6809054824352839,0.7351040553629948,0.5843645773983601,3.4949411870216838,22.62585972081013,6.9008059066970775,1.0061177182548038,1.1710676363422214,0.7902171765343163
41,26.0,16.994116628998402,1.319280106724876,8.564325213885638,3.2177685944136334,4.038171465280533,0.6518872868958495,1.5057754622191355,2.589525894602931,8.151870478149528,1.642052811618613,27.517760385891133,0.24630793050557606,0.6647510488024949,1.8616087343655872,1.3528278168059398,0.68116627654786,0.7355495405451303,0.5847051709727216,3.4956345945516456,22.62807692237424,6.901574321771616,1.0062261934497387,1.1718721565066754,0.7905616998437812
39,26.0,16.994116628998402,1.319280106724876,8.553737001067946,3.218155384068307,4.0341573645024384,0.6530440325611612,1.5076730492375137,2.5886326516508578,8.154680453301404,1.6427831135019622,27.507174465726074,0.24673853887065,0.6647435228752314,1.8632092362527255,1.3543460567628551,0.6818444010503777,0.7367079041850549,0.585590792376875,3.4974376131537634,22.633842154927976,6.90357237719166,1.0065082538339791,1.1739640934407447,0.7914575394604382
38,26.0,16.994116628998402,1.319280106724876,8.546912874418606,3.218404670858778,4.031570267646284,0.6537895577085191,1.5088960482803673,2.588056954586723,8.156491488520293,1.6432537946858445,27.500351816696444,0.24701606691717942,0.664738672398415,1.864240763269457,1.3553245657830721,0.6822814537965665,0.7374544721206402,0.5861615773364683,3.498599662642552,22.637557860098152,6.904860128342261,1.00669004237733,1.1753123514353965,0.7920349100806576
37,26.0,16.994116628998402,1.319280106724876,8.538814469093944,3.2187005073188923,4.028500078590323,0.6546742958051677,1.5103474196381432,2.5873737568078483,8.158640700868395,1.6438123668228568,27.492255164909473,0.24734541816243688,0.6647329161853057,1.8654649087629502,1.3564857931557075,0.6828001180108703,0.7383404477268145,0.5868389457666762,3.499978703251129,22.64196740407077,6.906388343059063,1.006905776548614,1.1769123715235277,0.7927200939210742
36,26.0,16.994116628998402,1.319280106724876,8.529205010344446,3.2190515428803526,4.024857033582861,0.6557241141216167,1.5120695973550682,2.586563083519634,8.161190927311138,1.644475161001965,27.482647786884197,0.24773622191682057,0.6647260859403119,1.8669174633278958,1.3578636899253531,0.6834155579860735,0.7393917344554092,0.5876427020282299,3.501615054274664,22.64719970959393,6.908201702071458,1.0071617638123658,1.1788109338230026,0.7935331238431822
35,26.0,16.994116628998402,1.319280106724876,8.517801094958562,3.2194681303224435,4.020533691540913,0.6569699740148146,1.514113372085284,2.585601026256536,8.16421737940652,1.6452617244218042,27.471246340774023,0.24820000380752394,0.6647179802250993,1.8686412658628606,1.359498893174688,0.6841459243454356,0.7406393369699447,0.5885965505889634,3.5035569751570432,22.653409088396074,6.910353685162356,1.0074655537730486,1.1810640309414204,0.7944979778146297
40,26.0,16.994116628998402,1.319280106724876,8.559485427745468,3.2179453928254214,4.036336652395152,0.6524160259507843,1.5066428338435485,2.5891176004995082,8.153154894984402,1.642386626682026,27.51292164770387,0.24650475809423608,0.6647476087622266,1.8623403107877894,1.3535217919675129,0.6814762417539908,0.7360790191631285,0.5851099813284499,3.496458739720546,22.630712163381276,6.902487616686981,1.0063551209620432,1.1728283639001176,0.7909711808615093
