,Returns,Standard Deviation,Sharpe Ratio,ASIANPAINT Weight,BAJFINANCE Weight,BAJAJFINSV Weight,BRITANNIA Weight,DIVISLAB Weight,HCLTECH Weight,HDFCBANK Weight,HINDALCO Weight,HINDUNILVR Weight,HDFC Weight,ICICIBANK Weight,INFY Weight,JSWSTEEL Weight,KOTAKBANK Weight,NESTLEIND Weight,RELIANCE Weight,SHREECEM Weight,TCS Weight,TATASTEEL Weight,TECHM Weight,TITAN Weight,WIPRO Weight
92,29.2,18.335757415498275,1.3972697947206003,2.757663839764924,4.437321223696836,11.634169993557943,1.7607493531509117,13.461592019536726,0.6980258634263914,10.350579229746836,0.0528716985378265,21.568865981513273,2.35377348029281,0.5453225189294225,1.2331083830407188,10.6446313416559,0.07355537682062047,3.9226597332635063,1.4625349010565138,0.7851626175994584,7.2508421095021856,4.043454163133422,0.12954920149821839,0.4558346137406093,0.3777323565349646
67,27.799999999999997,17.44133022449836,1.3886555491037158,1.0106233283405104,1.3059331114555972,8.832741836901063,0.9135613011243685,13.415686880985266,0.5448131348666853,8.006424292554627,2.0499548755124466,25.685595021363145,1.4962149011587684,0.505115077185897,2.2526317326309746,9.668034363632627,0.49964802137095504,3.7613467826348015,0.17890605494120132,0.39306965179663017,15.705399591322152,2.4402563234948405,0.05250031797535438,0.5498407046540197,0.7317026940980716
91,28.999999999999996,18.335757415498275,1.3863621460498698,2.7537435369020447,3.8086171572680905,12.297453701399046,1.7723281620929885,13.567542812068748,0.6870881003552439,10.727766802211542,0.055621191297233044,21.404738462686556,2.3001571988364162,0.552655444515297,1.2531634235571747,10.251600243273606,0.0710748999645802,3.8023311618376785,1.4689111412495075,0.8077437361727144,7.341971236531018,4.069730133222139,0.12763993680069385,0.4760893382269647,0.4020321795307039
89,29.599999999999998,18.78297101099823,1.38529735177487,1.5777088948530582,3.848440558355236,13.328313173346098,1.2156316365574766,17.244684383883925,1.3942773391729664,11.246894914750294,0.08560609265504988,20.231809653713437,0.7470751486854212,0.2814263917468023,1.003130536033056,13.674249213304693,0.013585625975238462,1.5446657880001127,1.627992637392777,0.611470728774156,7.560838599422634,1.5339912549411314,0.03757170066301319,0.6381364041921739,0.5524993235812683
192,27.599999999999998,17.44133022449836,1.3771885338344858,15.990109166163283,0.04797056632445367,0.29930911502928054,0.004011673787726006,0.0320200103938464,0.31307062091971655,0.04563023292140106,0.0003417831243557673,1.1502409875819528,3.9245254534034832,0.5415126800180627,7.651583540281362,0.10644117827854958,7.258543820901968,19.48201631868503,23.32457003714864,0.021515486070548442,0.03292002886598904,0.14112002790632763,1.8873335641670388,10.109063455579568,7.636150252447416
256,27.599999999999998,17.44133022449836,1.3771885338344858,15.990109166163286,0.04797056632445367,0.2993091150292806,0.004011673787726005,0.032020010393846395,0.31307062091971655,0.04563023292140106,0.0003417831243557673,1.1502409875819528,3.9245254534034837,0.5415126800180629,7.651583540281361,0.10644117827854958,7.258543820901969,19.482016318685037,23.324570037148643,0.02151548607054845,0.032920028865989034,0.14112002790632763,1.8873335641670388,10.10906345557957,7.636150252447417
264,27.599999999999998,17.44133022449836,1.3771885338344858,15.990109166163286,0.04797056632445367,0.2993091150292806,0.004011673787726005,0.032020010393846395,0.31307062091971655,0.04563023292140106,0.0003417831243557673,1.1502409875819528,3.9245254534034837,0.5415126800180629,7.651583540281361,0.10644117827854958,7.258543820901969,19.482016318685037,23.324570037148643,0.02151548607054845,0.032920028865989034,0.14112002790632763,1.8873335641670388,10.10906345557957,7.636150252447417
263,27.599999999999998,17.44133022449836,1.3771885338344858,15.990109166163286,0.04797056632445367,0.2993091150292806,0.004011673787726005,0.032020010393846395,0.31307062091971655,0.04563023292140106,0.0003417831243557673,1.1502409875819528,3.9245254534034837,0.5415126800180629,7.651583540281361,0.10644117827854958,7.258543820901969,19.482016318685037,23.324570037148643,0.02151548607054845,0.032920028865989034,0.14112002790632763,1.8873335641670388,10.10906345557957,7.636150252447417
262,27.599999999999998,17.44133022449836,1.3771885338344858,15.990109166163286,0.04797056632445367,0.2993091150292806,0.004011673787726005,0.032020010393846395,0.31307062091971655,0.04563023292140106,0.0003417831243557673,1.1502409875819528,3.9245254534034837,0.5415126800180629,7.651583540281361,0.10644117827854958,7.258543820901969,19.482016318685037,23.324570037148643,0.02151548607054845,0.032920028865989034,0.14112002790632763,1.8873335641670388,10.10906345557957,7.636150252447417
261,27.599999999999998,17.44133022449836,1.3771885338344858,15.990109166163286,0.04797056632445367,0.2993091150292806,0.004011673787726005,0.032020010393846395,0.31307062091971655,0.04563023292140106,0.0003417831243557673,1.1502409875819528,3.9245254534034837,0.5415126800180629,7.651583540281361,0.10644117827854958,7.258543820901969,19.482016318685037,23.324570037148643,0.02151548607054845,0.032920028865989034,0.14112002790632763,1.8873335641670388,10.10906345557957,7.636150252447417
